排名,品名,評價,評論數,價格
#1,Arteck 2.4G Wireless Keyboard Stainless Steel Ultra Slim Full Size Keyboard with Numeric Keypad for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8/ 7 Built in Rechargeable Battery,4.4 out of 5 stars,"3,051",$37.99
#2,Logitech K400 Plus Wireless Touch TV Keyboard with Easy Media Control and Built-In Touchpad,4.4 out of 5 stars,"10,371",$23.69
#3,"Apple Magic Keyboard (Wireless, Rechargable) (US English) - Silver",4.6 out of 5 stars,"1,481",$94.00
#4,"Apple Magic Keyboard with Numeric Keypad (Wireless, Rechargable) (US English) - Silver",4.7 out of 5 stars,"1,687",$119.00
#5,Logitech K350 Wireless Wave Keyboard with Unifying Wireless Technology - Black,4.3 out of 5 stars,"3,387",$36.99
#6,"Arteck HB030B Universal Slim Portable Wireless Bluetooth 3.0 7-Colors Backlit Keyboard with Built in Rechargeable Battery, Black",4.4 out of 5 stars,"7,381",$19.99
#7,Apple Smart Keyboard (for iPad - 7th Generation and iPad Air - 3rd Generation) - US English,4.4 out of 5 stars,23,$110.01
#8,"AmazonBasics Wired Keyboard, Keyboard only (1-Pack)",4.3 out of 5 stars,"7,493",
#9,HP Wired USB Keyboard K1500 (Black) (H3C52AA#ABA),4.4 out of 5 stars,"1,471",$17.69
#10,Microsoft Sculpt Ergonomic Keyboard for Business (5KV-00001 ),3.9 out of 5 stars,"2,746",$69.98
#11,"OMOTON Ultra-Slim Bluetooth Keyboard Compatible with iPad 10.2-inch/ 9.7-inch, iPad Air 10.5, iPad Pro 11/12.9, iPad Mini 5/4, iPhone and Other Bluetooth Enabled Devices, White",4.4 out of 5 stars,"5,745",$17.99
#12,Magic Keyboard for 12.9-inch iPad Pro (4th Generation) - US English,4.3 out of 5 stars,42,$329.98
#13,"Logitech K380 Multi-Device Bluetooth Keyboard – Windows, Mac, Chrome OS, Android, iPad, iPhone, Apple TV Compatible – with FLOW Cross-Computer Control and Easy-Switch up to 3 Devices – Dark Grey",4.4 out of 5 stars,"2,945",$29.99
#14,Dell Wired Keyboard - Black KB216 (580-ADMT),4.5 out of 5 stars,"4,511",$18.39
#15,"[2020 Upgraded] iClever BK10 Bluetooth Keyboard, Universal Wireless Keyboard, Rechargeable Bluetooth 5.1 Multi Device Keyboard with Number Pad Full Size Stable Connection for Windows, iOS, Android",4.0 out of 5 stars,495,$35.99
#16,"Logitech Ergo K860 Wireless Ergonomic Keyboard with Wrist Rest - Split Keyboard Layout for Windows/Mac, Bluetooth or USB Connectivity",4.5 out of 5 stars,299,$109.99
#17,CORSAIR K55 RGB Gaming Keyboard - Quiet & Satisfying LED Backlit Keys - Media Controls - Wrist Rest Included - Onboard Macro Recording (Renewed),4.4 out of 5 stars,359,$34.99
#18,Razer Ergonomic Wrist Rest for Full-Sized Keyboards: Anti-Slip Rubber Base - Angled Incline - Classic Black,4.5 out of 5 stars,248,$9.99
#19,"Arteck Universal Bluetooth Keyboard Multi-Device Stainless Steel Full Size Wireless Keyboard for Windows, iOS, Android, Computer Desktop Laptop Surface Tablet Smartphone Built in Rechargeable Battery",4.5 out of 5 stars,285,$38.99
#20,Arteck 2.4G Wireless Keyboard Stainless Steel Ultra Slim Keyboard for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8 / 7 / Vista/XP Built in Rechargeable Battery,4.5 out of 5 stars,"1,899",$29.99
#21,"OMOTON Ultra-Slim Bluetooth Keyboard Compatible with iPad 10.2-inch/ 9.7-inch, iPad Air 10.5, iPad Pro 11/12.9, iPad Mini 5/4, iPhone and Other Bluetooth Enabled Devices, Black",4.4 out of 5 stars,"5,745",$17.99
#22,Logitech K750 Wireless Solar Keyboard for Windows Solar Recharging Keyboard 2.4GHz Wireless - Black,4.0 out of 5 stars,"3,510",$35.00
#23,"Logitech G613 LIGHTSPEED Wireless Mechanical Gaming Keyboard, Multihost 2.4 GHz + Blutooth Connectivity - Black",4.2 out of 5 stars,852,$66.99
#24,Arteck 2.4G Wireless Keyboard Stainless Steel Ultra Slim Full Size Keyboard with Numeric Keypad for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8/ 7 Built in Rechargeable Battery,4.4 out of 5 stars,220,$33.99
#25,"VicTsing Keyboard [4.9ft Cable][Basis & Matte Finish], Standard US Layout Computer Keyboard, Chiclet USB Wired Keyboard with Foldable Stands, Compatible for Windows/PC/Laptop/Desktop/Surface, Black",4.4 out of 5 stars,"1,374",$22.99
#26,"Microsoft Natural Ergonomic Keyboard 4000, Retail",4.3 out of 5 stars,"5,439",$42.00
#27,HP Wireless Elite Keyboard v2,4.2 out of 5 stars,"1,957",$39.99
#28,Logitech MK335 Wireless Keyboard and Mouse Combo - Black/Silver,4.1 out of 5 stars,"6,840",$27.99
#29,"Perixx Periboard-512 Ergonomic Split Keyboard - Natural Ergonomic Design - Black - Bulky Size 19.09""x9.29""x1.73""",4.3 out of 5 stars,"1,561",$45.15
#30,Logitech K830 Illuminated Living-Room Keyboard with Built-in Touchpad – Easy-access Media Keys and Shortcut Keys for Windows or Android,4.1 out of 5 stars,"1,507",$59.98
#31,"Perixx PERIBOARD-317 Wired Backlit USB Keyboard, Big Print Letter with White Illuminated LED",4.3 out of 5 stars,"1,159",$24.99
#32,"iClever BK10 Bluetooth Keyboard, Multi Device Keyboard Rechargeable Bluetooth 5.1 with Number Pad Ergonomic Design Full Size Stable Connection White Keyboard for iOS, Android, Windows",4.2 out of 5 stars,378,$36.98
#33,"HUO JI Z88 Z-88 RGB Mechanical Gaming Keyboard, Blue Switch , LED Backlit, Water Resistant, Compact 81 Keys Anti-Ghosting for Mac, PC, White",4.4 out of 5 stars,"1,569",$49.99
#34,"Logitech K750 Wireless Solar Keyboard for Mac — Solar Recharging, Mac-Friendly Keyboard, 2.4GHz Wireless - Silver",3.8 out of 5 stars,"4,353",$48.08
#35,"Logitech Bluetooth Multi-Device Keyboard K480 – Black – Works with Windows  and Mac Computers, Android and iOS Tablets and Smartphones",4.1 out of 5 stars,"6,180",$29.95
#36,"Apple Magic Keyboard with Numeric Keypad (Wireless, Rechargable) (US English) - Space Gray",4.7 out of 5 stars,"1,687",$149.00
#37,"Logitech K780 Multi-Device Wireless Keyboard for Computer, Phone and Tablet – Logitech FLOW Cross-Computer Control Compatible",4.3 out of 5 stars,"1,437",$54.99
#38,HP USB Slim Business Keyboard,4.4 out of 5 stars,409,$22.99
#39,"HyperX Pudding Keycaps - Double Shot PBT Keycap Set with Translucent Layer, for Mechanical Keyboards, Full 104 Key Set, OEM Profile, English (US) Layout – White",4.3 out of 5 stars,5,$24.99
#40,Logitech Slim Folio with Integrated Bluetooth Keyboard for iPad (5th and 6th Generation) Black,4.0 out of 5 stars,"1,249",$67.00
#41,Microsoft Ergonomic Keyboard (LXM-00001),4.2 out of 5 stars,230,$49.99
#42,"HyperX Pudding Keycaps - Double Shot PBT Keycap Set with Translucent Layer, for Mechanical Keyboards, Full 104 Key Set, OEM Profile, English (US) Layout - Black",4.3 out of 5 stars,5,$24.99
#43,Manhattan 104-key Black Wired Keyboard with Built-in 5 ft. (1.5 m) USB-A Cable and LED Indicator Lights,4.1 out of 5 stars,34,$10.99
#44,Microsoft Natural Ergonomic Keyboard 4000 for Business - Wired,4.3 out of 5 stars,"5,439",$53.50
#45,"Microsoft Surface Keyboard, WS2-00025, Silver",4.2 out of 5 stars,365,$89.00
#46,Apple Smart Keyboard Folio (for 12.9-inch iPad Pro - 4th Generation) - US English,4.3 out of 5 stars,29,$189.98
#47,"Foldable Bluetooth Keyboard, Jelly Comb Dual Mode Bluetooth & USB Wired Rechargable Portable Mini BT Wireless Keyboard with Touchpad Mouse for Android, Windows, PC, Tablet-Dark Gray",4.3 out of 5 stars,"1,093",$34.99
#48,"(2019 Upgrade) Rii i4 Mini Bluetooth Keyboard with Touchpad, Blacklit Portable Wireless Keyboard with 2.4G USB Dongle for Smartphones, PC, Tablet, Laptop TV Box iOS Android Windows Mac.Black",4.3 out of 5 stars,"5,221",$29.99
#49,Logitech K840 Mechanical Keyboard with Romer G mechanical Switches for PC,4.2 out of 5 stars,352,$49.95
#50,Redragon K502 RGB Gaming Keyboard RGB LED Backlit Illuminated 104 Key Silent Keyboard with Wrist Rest for Windows PC Games,4.0 out of 5 stars,"2,599",$28.99
#51,Microsoft Wireless Desktop 2000,4.0 out of 5 stars,910,$34.99
#52,"Macally 2.4G Wireless Keyboard for PC Computer, Desktop, Laptop, Surface Pro, Smart TV - Ultra Slim Full Size Keyboard with Numeric Keypad - Compatible with Windows 10/8/7/Vista/XP, etc.",4.2 out of 5 stars,216,$21.99
#53,Arteck 2.4G Wireless Keyboard Stainless Steel Ultra Slim Full Size Keyboard with Numeric Keypad for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8/ 7 Built in Rechargeable Battery,4.7 out of 5 stars,278,$29.99
#54,Macally Full Size USB Wired Keyboard (MKEYE) for Mac and PC (White) w/ Shortcut Hot Keys,3.7 out of 5 stars,"1,533",$19.99
