«~¦W,°â»ù(IDR),­ì»ù(IDR),´«ºâ(USD),µû¤À,µû½×¼Æ,¾P°â¶q,®w¦s¶q,½æ®a¦WºÙ,½æ®aºô§},¥X³f¦a,²£«~Ãþ§O,«~µP,²£«~´y­z,²£«~ºô§},0.00709%
Star SellerGenius Mouse Pen I608x Pen Tablet Alat Desain Grafis,790,,56.04 ,,,1,99,scriptechnologi,https://id.xiapibuy.com/scriptechnologi,"KOTA JAKARTA UTARA - TANJUNG PRIOK, DKI JAKARTA, ID",Pen Tablet,Genius,"Genius Mouse Pen i608x Pen Tablet Alat Desain Grafis

FEATURES
6 x 8 working area for drawing and handwriting
1024-level pressure sensitivity for all shapes and thickness control
Make handwriting notes/drawings efficiently in email, MSN, documents, or any application program
3-button cordless wheel mouse for fast browsing on the Internet and in documents
Pen clip design for pen easy storage

Garansi 1 Tahun",https://id.xiapibuy.com//Genius-Mouse-Pen-I608x-Pen-Tablet-Alat-Desain-Grafis-i.2948389.19970893,
Star SellerGenius Easypen I405x 4 X 5.5 Inch Stylus Graphic Tablet / Pen Stylus,590,,41.86 ,4.7,3,9,91,scriptechnologi,https://id.xiapibuy.com/scriptechnologi,"KOTA JAKARTA UTARA - TANJUNG PRIOK, DKI JAKARTA, ID",Pen Tablet,Genius,"NEW TYPE : I405 :<br />4"" x 5.5"" graphic tablet for painting & drawing<br /><br />Key features:<br />> 4"" x 5.5"" working area for drawing and handwriting<br />> 1024-level pressure sensitivity for all shapes and thickness control<br />> Make handwriting notes/drawings efficiently in email, MSN, documents, or any application program<br />> Vista plug and play; handwriting recognition compatible, pen flicks, digital inking in Office and snapping functions for convenient operation<br /><br />Specification :<br />Interface support : USB<br />System support : Windows 7/Vista/XP/2000, MAC OS 10.3.5+<br />Active area : 4"" x 5.5""<br />Resolution : 2540 LPI<br />Report rate : 100 RPS<br />Pen pressure : 1024 Levels<br />Programmable keys : 28<br /><br />System Requirements :<br />IBM PC/ Pentium 233 compatible or higher<br />Windows 7/Vista/XP/2000<br />Macintosh with OS X 10.3.5 or later<br />Available USB port<br />CD/DVD-ROM drive for software installation<br /><br />Package contents :<br />EasyPen i405X tablet<br />Cordless pen<br />Two extra pen tips<br />AAA battery for pen<br />Multi-language quick guide<br />Software :<br />- PenNotice/Annotate for Word/Pen Commander/PenMail/PenSigner<br />- PC Driver /E-manual<br />- Mac Driver/E-manual<br />untuk soft ware win 10 silakan downlod di genius web sudah bisa supot ya gan",https://id.xiapibuy.com//Genius-Easypen-I405x-4-X-5.5-Inch-Stylus-Graphic-Tablet-Pen-Stylus-i.2948389.65631296,
"xvf-643 Genius Stylus Pen for Genius i405x danGenius i608x ,",521,,36.96 ,,,0,55,ishhalstore,https://id.xiapibuy.com/ishhalstore,"KOTA JAKARTA PUSAT - KEMAYORAN, DKI JAKARTA, ID",Pen Tablet,Genius,"ALL ITEM REAL PICTURE 100 % DIJAMIN !!!!

Pena telah dicoba terlebih dahulu sebelum dikirim dan pasti bisa digunakan.

No battery inserted.
No warranty.

NB : Mohon untuk mengkonfirmasikan atau memberikan feedback apabila barang sudah diterima pembeli. Terima kasih.


MOHON DI PERHATIKAN (MEMBELI = SETUJU)			
1. Pesanan sudah kami QC baik jumlah maupun kualitas, (kasih note pilihan warna alternatif, jikalau kosong kami akan memberitahukan melalui fitur chat dan kami tunggu respon 1X24 jam, tidak ada respon chat maka warna akan kami ganti dengan warna yg mirip/ random)	
2. Kerusakan/kehilangan paket dlm pengiriman diluar tanggung jawab kami (bisa klaim langsung ke pihak kurir yg di pilih)	
3. Di tunggu order berikutnya ajakin temen dan keluarga ya!
4. Terima kasih.

~~>>>> Kepuasan pelanggan adalah tujuan utama kami <<<<~~
   ~~>>>>>> Terima Kasih Atas Kunjungan Anda <<<<<<~~

",https://id.xiapibuy.com//xvf-643-Genius-Stylus-Pen-for-Genius-i405x-danGenius-i608x--i.182578546.3315692010,
Genius MousePen i608 Pen Tablet Alat Desain Grafis,890,,63.14 ,,,0,50,grahabarukomputer,https://id.xiapibuy.com/grahabarukomputer,"KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID",Pen Tablet,Genius,"Genius Mouse Pen i608x 
Pen Tablet Alat Desain Grafis Alternatif Wacom

FEATURES
6 x 8 working area for drawing and handwriting
1024-level pressure sensitivity for all shapes and thickness control
Make handwriting notes/drawings efficiently in email, MSN, documents, or any application program
3-button cordless wheel mouse for fast browsing on the Internet and in documents
Pen clip design for pen easy storage

Garansi 1 tahun",https://id.xiapibuy.com//Genius-MousePen-i608-Pen-Tablet-Alat-Desain-Grafis-i.27174479.6432296756,
Genius EasyPen i405 Pen Tablet Alat Desain Grafis,690,,48.95 ,,,0,50,grahabarukomputer,https://id.xiapibuy.com/grahabarukomputer,"KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID",Pen Tablet,Genius,"Genius EasyPen i405 Pen Tablet Desain Tablet

EasyPen i405, 4-Inch x 5.5-Inch graphic tablet for painting & drawing. Now here's a simple, easy, and fun way to show your creativity. The new EasyPen i405 from Genius allows you to freely express yourself on your computer by simply touching the pen tip to the tablet. The 4-Inch x 5.5-Inch working area with the cordless pen is great for Windows and MAC users to write, draw, sketch or sign emails. Using EasyPen i405 gives you more convenience and is easier to control compared to a mouse. The cursor moves precisely where you position the pen. Just click the pen on any of the 28 programmable shortcut keys for instant access to Office and Internet functions. You just need to barely touch the pen to start a funciton, it features two buttons and 1024 level pressure sensitivity for thickness during drawing or writing. You can store the pen in the clip on the right and this makes it easy to carry and store. Touch up digital photos, draw by hand, create artwork and paintings, and even write in your own handwriting, EasyPen i405 has all these options at your disposal. 

FEATURES
 4-Inch x 5.5-Inch working area for drawing and handwriting
1024-level pressure sensitivity for all shapes and thickness control
Make handwriting notes/drawings efficiently in email, MSN, documents, or any application program
Vista plug and play; handwriting recognition compatible, pen flicks, digital inking in Office and snapping
Functions for convenient operation 

TECH SPECS
Connectivity Technology : wired
Interface : USB
Resolution : 2540 lpi
Performance : 100 reports per second
Pressure Levels : 1024
Active Area : 5.5 in x 4 in
Dimensions :  7.9 in x 7.8 in x 4 in

Garansi 1 tahun",https://id.xiapibuy.com//Genius-EasyPen-i405-Pen-Tablet-Alat-Desain-Grafis-i.27174479.6032296280,
Star SellerMouse Pen Drawing Genius i608,795,,56.40 ,,,0,15,r1sno27,https://id.xiapibuy.com/r1sno27,"KAB. TANGERANG - SEPATAN, BANTEN, ID",Pen Tablet,Genius,"Genius Pen Tablet i608x
Tablet grafis 6 ""x 8"" untuk lukisan kreatif

Fitur utama:
- 6 ""x 8"" area kerja untuk menggambar dan tulisan tangan

- Membuat catatan tulisan tangan / gambar secara efisien di email, MSN, dokumen, atau program aplikasi apa pun
- 3-tombol mouse roda tanpa kabel untuk browsing cepat di Internet dan dokumen
- Desain klip pena untuk pen penyimpanan mudah

Spesifikasi:
Dukungan antarmuka: USB

Area aktif: 6 ""x 8""
Resolusi: 2540 LPI
Tingkat laporan: 100 RPS

Tanpa kabel mouse: Tiga tombol dengan roda bergulir
Kunci yang bisa diprogram: 29

Persyaratan sistem:
- PC / Pentium 233 kompatibel atau lebih tinggi

- Macintosh dengan OS X 10.3.5 atau lebih baru
- Port USB yang tersedia
- CD / DVD-ROM drive untuk instalasi perangkat lunak

Isi paket:

- Pena tanpa kabel
- Mouse tanpa kabel
- Perangkat Lunak
* PenNotice / Anotasi untuk Word

GARANSI GENIUS 30 HARI",https://id.xiapibuy.com//Mouse-Pen-Drawing-Genius-i608-i.3324948.1321678717,
Genius Tablet EasyPen i405X,550,,39.02 ,,,0,15,indomediakomputer,https://id.xiapibuy.com/indomediakomputer,"KAB. SLEMAN - MLATI, DI YOGYAKARTA, ID",Pen Tablet,Genius,"EasyPen i405 adalah produk pen tablet keluaran genius yang sangat simple, easy, dan fun untuk menunjukkan kreatifitas anda kepada orang lain. Produk EasyPen i405 memberikan kemudahan bagi anda untuk mengekprsikan kreatifitas dengan bebas, simple, dan mudah dengan sekali sentuhan melalui pena dan tablet yang dibawanya. EasyPen i405 sangat kecil, sehingga mudah dibawa kemana-mana, namanya juga EasyPen, easy to bring, easy to safe, aesy everything.

Genius EasyPen i405 mempunyai bidang kerja yang sederhana (4' x 5,5') dengan resolusi yang cukup lumayan 2000 LPI dan pressure sensitifity (sensitifitas tekanan) sampai dengan level 1024. Disamping itu spesifikasi EasyPen i405 juga dilengkapi dengan mouse tanpa kabel dan 2 tombol button, serta 28 hot key yang bisa diprogram sesuai dengan keinginan anda.

Ringkasan Review EasyPen i405:
- Area kerja 4' x 5,5'
- Resolusi 2000 LPI
- Senitifitas 1024 PresSensi
- 28 Hotkey yang bisa di program ulang
- Pen menggunakan batterai AAA
- Sambungan menggunakan USB
- Bisa jalan di OS Windows 2000/XP/Vista/7/8 ataupun MAC",https://id.xiapibuy.com//Genius-Tablet-EasyPen-i405X-i.41486473.3223099402,
Genius Tablet MousePen i608X,710,,50.37 ,,,0,14,indomediakomputer,https://id.xiapibuy.com/indomediakomputer,"KAB. SLEMAN - MLATI, DI YOGYAKARTA, ID",Pen Tablet,Genius,"DETAIL SPESIFICATION
6 x 8 inch Working Area for Drawing and Handwriting, 1024-Level Pressure Sensitivity for All Shapes and Thickness Control, Make Handwriting Notes/Drawings Efficiently (in Email/MSN/Documents or Any Application Program), 3-Button Cordless Wheel Mouse for Fast browsing on the Internet and in Documents, Pen Clip Design for Pen Easy Storage.

InterfaceUSB 1.1 / USB 2.0Working Area6 x 8 inchWide/4:3 Screen4 : 3Resolution (LPI)5120 LPIReport Rates (RPS)200 RPSExpress Keys29 Programmable KeysScroll PadNot AvailableDigital Pen-Number of Buttons2Digital Pen-Pressure Sensitive2048 LevelMouse-No. of Buttons3Mouse- Scroll WheelAvailableOS SupportPC with Windows 2000/XP/Vista/7 and Mac OS X 10.3.5 or LaterPower Source1x 1.5V AAA Battery (Cordless Pen), 1x 1.5 AAA Battery (Mouse)Dimension (WHD)264(W) x 300(H) x 24.4(D) mmWeightAprox. 650 gramAlnect Care Warranty7 HariStandard Warranty30 HariManufacturer websitehttp://www.geniusnet.com/",https://id.xiapibuy.com//Genius-Tablet-MousePen-i608X-i.41486473.5622929777,
Star SellerTablet Pen Drawing Genius i405X,595,,42.21 ,,,0,10,r1sno27,https://id.xiapibuy.com/r1sno27,"KAB. TANGERANG - SEPATAN, BANTEN, ID",Pen Tablet,Genius,"EasyPen Graphic Tablet Genius i405X

TYPE BARU: I405X:
Tablet grafis 4 ""x 5.5"" untuk lukisan & amp; amp; amp; gambar

Fitur utama:
Area kerja 4 ""x 5.5"" untuk menggambar dan menulis tangan
1024 tingkat sensitivitas tekanan untuk semua bentuk dan kontrol ketebalan
Buat catatan tulisan tangan / gambar secara efisien di email, MSN, dokumen, atau program aplikasi apa pun
& amp; amp; gt; Plug and play Vista; pengenalan tulisan tangan kompatibel, film pena, tinta digital di kantor dan fungsi snapping untuk pengoperasian yang mudah

Spesifikasi:
Dukungan antarmuka: USB
Dukungan sistem: Windows 7 / Vista / XP / 2000, MAC OS 10.3.5+
Area aktif: 4 ""x 5.5""
Resolusi: 2540 LPI
Tingkat laporan: 100 RPS
Tekanan pena: 1024 Tingkat
Kunci yang bisa diprogram: 28

Persyaratan sistem :
IBM PC / Pentium 233 kompatibel atau lebih tinggi
Windows 7 / Vista / XP / 2000
Macintosh dengan OS X 10.3.5 atau lebih baru
Port USB yang tersedia
CD / DVD-ROM drive untuk instalasi perangkat lunak

Isi paket:
Tablet EasyPen i405X
Pena tanpa kabel
Dua kiat pena tambahan
Baterai AAA untuk pulpen
Panduan cepat multi-bahasa
Perangkat lunak:
- PenNotice / Anotasi untuk Word / Pen Commander / PenMail / PenSigner
- Pengandar PC / E-manual
- Mac Driver / E-manual

Garansi 1th by genius ",https://id.xiapibuy.com//Tablet-Pen-Drawing-Genius-i405X-i.3324948.1321586359,
Star SellerGenius mouse pen-drawing tablet easypen i405x,590,,41.86 ,,,0,7,emalljakarta,https://id.xiapibuy.com/emalljakarta,"KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID",Pen Tablet,Genius,"#BARANG KAMI SELALU READY SILAHKAN LANGSUNG KLIK BELI #
Key features:
> 4"" x 5.5"" working area for drawing and handwriting
> 1024-level pressure sensitivity for all shapes and thickness control
> Make handwriting notes/drawings efficiently in email, MSN, documents, or any application program
> Vista plug and play; handwriting recognition compatible, pen flicks, digital inking in Office and snapping functions for convenient operation

Specification :
Interface support : USB
System support : Windows 7/Vista/XP/2000, MAC OS 10.3.5+
Active area : 4"" x 5.5""
Resolution : 2540 LPI
Report rate : 100 RPS
Pen pressure : 1024 Levels
Programmable keys : 28

System Requirements :
IBM PC/ Pentium 233 compatible or higher
Windows 7/Vista/XP/2000
Macintosh with OS X 10.3.5 or later
Available USB port
CD/DVD-ROM drive for software installation

Package contents :
EasyPen i405X tablet
Cordless pen
Two extra pen tips
AAA battery for pen
Multi-language quick guide
Software :
- PenNotice/Annotate for Word/Pen Commander/PenMail/PenSigner
- PC Driver /E-manual
- Mac Driver/E-manua",https://id.xiapibuy.com//Genius-mouse-pen-drawing-tablet-easypen-i405x-i.12031235.1186801153,
