name,price,Sale_price,desc,URL
【Logitech 羅技】MK235 無線鍵盤滑鼠組,"


599元








","
599元",●系統需求Windows7、Windows8、Windows10或更高版本ChromeOSLinuxkernel2.6+USB連接埠●尺寸鍵盤高度:137.5公釐(5.41英寸)寬度:435.5公釐(17.15英寸)深度:20.5公釐(0.81英寸)重量:475公克(1.05磅)(含2顆3號AAA電池)重量:425公克(15.0盎司)(不含電池)滑鼠高度:97.7公釐(3.85英寸)寬度:61.5公釐(2.42英寸)深度:35.2公釐(1.39英寸)重量:70.5克(2.49盎司)超小型接收器高度:18.7公釐(0.74英寸)寬度:14.4公釐(0.57英寸)深度:6.6公釐(0.24英寸)重量:2.0公克(0.07盎司)●技術規格連線類型：使用超小型USB接收器的羅技非Unifying協定(2.4GHz)無線接收範圍：10公尺/33英尺無線加密：裝置和接收器之間設有128位元高級加密標準（AES）軟體支援：LogitechSetPoint鍵盤低平式按鍵鍵盤高度可調整電池：2顆4號AAA電池電池壽命(不可充電)：36個月特殊按鍵：透過「fn」鍵可使用15個功能鍵滑鼠連線/電源：開啟/關閉電源按鈕感應器技術：先進光學追蹤技術電池：1顆4號AA電池電池壽命(不可充電)：12個月●保固資訊1年有限硬體保固●包裝內容鍵盤滑鼠無線接收器使用者文件●此為繁體中文版本,https://m.momoshop.com.tw/goods.momo?i_code=3889193&mdiv=searchEngine&oid=1_1&kw=羅技
【Logitech 羅技】K380跨平台鍵盤 + M350無線滑鼠,"


1,689元








","
1,689元",●系統需求支援外接鍵盤的無線藍牙電腦或其他裝置（HID規範）。有關詳細資訊，請諮詢裝置製造商。PC：Windows7、Windows8、Windows10或更新版本Mac：MacOS10.10或更新版本ChromeOSAndroid平板電腦或智慧型手機：Android3.2或更新版本iPad或iPhone：iOS5或更新版本AppleTV第2代或第3代網際網路連線(用於下載選用軟體)●尺寸高度:124公釐（4.9英吋）寬度:279公釐（10.9英吋）深度:16公釐（0.6英吋），含腳架重量:423公克（14.92盎司），含電池●技術規格連線類型：標準藍牙(3.0)無線接收範圍：10公尺(30英呎)**無線範圍依環境及計算條件而異電池：2顆4號AAA電池電池壽命：24個月指示燈(LED)：電池電量指示燈，3個藍牙頻道LED指示燈特殊按鍵：熱鍵（歸位、後退、應用程式切換、右鍵功能表）、Easy-Switch連線/電源：開啟/關閉開關●保固資訊1年有限硬體保固●包裝內容鍵盤2顆4號AAA電池（預裝）使用者文件●此為繁體中文版本●系統需求Windows|Mac|ChromeOS|Linux|可搭配Surface使用●接收器需要：可用的USB連接埠Windows10或更新版本、Windows8、Windows7macOS10.10或更新版本ChromeOSLinuxKernel2.6+●藍牙需要：藍牙低耗電技術Windows10或更新版本、Windows8macOS10.10或更新版本ChromeOS，Android？5.0或更新版本●尺寸滑鼠大小高x寬x深：26.5公釐x59公釐x107公釐重量（含電池）100公克超小型接收器高x寬x深：14.4公釐x18.7公釐x6.1公釐重量:1.8公克●技術規格感應器技術：:高精準光學追蹤技術感應器解析度：:1000dpi按鍵數：:3滾輪：:有-機械式捲動按鍵：:中鍵支援Unifying的滑鼠：:是支援Unifying的接收器：:否電池壽命：:18個月電池類型：:1顆已預先安裝的3號AA電池無線操作距離：:10公尺(無線範圍依環境及運算條件而異)無線技術:羅技接收器或藍牙低耗電技術●保固資訊1年有限硬體保固●包裝內容無線滑鼠超小型接收器1顆3號AA電池(預裝)使用者文件產品名稱：【PHILIPS飛利浦】3號超鹼電池4顆,https://m.momoshop.com.tw/goods.momo?i_code=7170824&mdiv=searchEngine&oid=1_2&kw=羅技
【Logitech 羅技】K380 多工藍芽鍵盤,"


990元








","
990元",●系統需求支援外接鍵盤的無線藍牙電腦或其他裝置（HID規範）。有關詳細資訊，請諮詢裝置製造商。PC：Windows7、Windows8、Windows10或更新版本Mac：MacOS10.10或更新版本ChromeOSAndroid平板電腦或智慧型手機：Android3.2或更新版本iPad或iPhone：iOS5或更新版本AppleTV第2代或第3代網際網路連線(用於下載選用軟體)●尺寸高度:124公釐（4.9英吋）寬度:279公釐（10.9英吋）深度:16公釐（0.6英吋），含腳架重量:423公克（14.92盎司），含電池●技術規格連線類型：標準藍牙(3.0)無線接收範圍：10公尺(30英呎)**無線範圍依環境及計算條件而異電池：2顆4號AAA電池電池壽命：24個月指示燈(LED)：電池電量指示燈，3個藍牙頻道LED指示燈特殊按鍵：熱鍵（歸位、後退、應用程式切換、右鍵功能表）、Easy-Switch連線/電源：開啟/關閉開關●保固資訊1年有限硬體保固●包裝內容鍵盤2顆4號AAA電池（預裝）使用者文件●此為繁體中文版本,https://m.momoshop.com.tw/goods.momo?i_code=7065344&mdiv=searchEngine&oid=1_3&kw=羅技
【Logitech 羅技】MK470 超薄無線鍵鼠組,"


1,490元








","
1,490元",●系統需求需要：可用的USB連接埠Windows10或更新版本、Windows8、Windows7可搭配Surface使用●尺寸鍵盤高x寬x深：373.5公釐x143.9公釐x21.3公釐重量:558公克(含電池)滑鼠高x寬x深：107公釐x59公釐x126.5公釐重量:100公克(含電池)●技術規格鍵盤：鍵盤電池壽命36個月鍵盤電池類型2顆4號AAA電池滑鼠：感應器技術：高精準光學追蹤技術感應器解析度：1000dpi按鍵數：3滾輪：有-機械式捲動按鍵：中鍵支援Unifying的滑鼠：無支援Unifying的接收器：無滑鼠電池壽命18個月滑鼠電池類型1顆3號AA電池無線操作距離：10公尺*(無線範圍依環境及運算條件而異)無線技術：羅技超小型接收器●包裝內容鍵盤2顆4號AAA電池(已預先安裝)滑鼠1顆3號AA電池(預裝)USB接收器使用者文件●1年有限硬體保固●此為繁體中文版本,https://m.momoshop.com.tw/goods.momo?i_code=6772741&mdiv=searchEngine&oid=1_4&kw=羅技
【Logitech 羅技】Pebble M350 鵝卵石無線滑鼠,"


699元








","
699元",●系統需求Windows|Mac|ChromeOS|Linux|可搭配Surface使用●接收器需要：可用的USB連接埠Windows10或更新版本、Windows8、Windows7macOS10.10或更新版本ChromeOSLinuxKernel2.6+●藍牙需要：藍牙低耗電技術Windows10或更新版本、Windows8macOS10.10或更新版本ChromeOS，Android？5.0或更新版本●尺寸滑鼠大小高x寬x深：26.5公釐x59公釐x107公釐重量（含電池）100公克超小型接收器高x寬x深：14.4公釐x18.7公釐x6.1公釐重量:1.8公克●技術規格感應器技術：:高精準光學追蹤技術感應器解析度：:1000dpi按鍵數：:3滾輪：:有-機械式捲動按鍵：:中鍵支援Unifying的滑鼠：:是支援Unifying的接收器：:否電池壽命：:18個月電池類型：:1顆已預先安裝的3號AA電池無線操作距離：:10公尺(無線範圍依環境及運算條件而異)無線技術:羅技接收器或藍牙低耗電技術●保固資訊1年有限硬體保固●包裝內容無線滑鼠超小型接收器1顆3號AA電池(預裝)使用者文件,https://m.momoshop.com.tw/goods.momo?i_code=6868774&mdiv=searchEngine&oid=1_5&kw=羅技
【贈PHILIPS電池】Logitech 羅技 Pebble M350 鵝卵石無線滑鼠,"
799
",,●系統需求Windows|Mac|ChromeOS|Linux|可搭配Surface使用●接收器需要：可用的USB連接埠Windows10或更新版本、Windows8、Windows7macOS10.10或更新版本ChromeOSLinuxKernel2.6+●藍牙需要：藍牙低耗電技術Windows10或更新版本、Windows8macOS10.10或更新版本ChromeOS，Android？5.0或更新版本●尺寸滑鼠大小高x寬x深：26.5公釐x59公釐x107公釐重量（含電池）100公克超小型接收器高x寬x深：14.4公釐x18.7公釐x6.1公釐重量:1.8公克●技術規格感應器技術：:高精準光學追蹤技術感應器解析度：:1000dpi按鍵數：:3滾輪：:有-機械式捲動按鍵：:中鍵支援Unifying的滑鼠：:是支援Unifying的接收器：:否電池壽命：:18個月電池類型：:1顆已預先安裝的3號AA電池無線操作距離：:10公尺(無線範圍依環境及運算條件而異)無線技術:羅技接收器或藍牙低耗電技術●保固資訊1年有限硬體保固●包裝內容無線滑鼠超小型接收器1顆3號AA電池(預裝)使用者文件產品名稱：【PHILIPS飛利浦】3號超鹼電池4顆,https://m.momoshop.com.tw/goods.momo?i_code=7149676&mdiv=searchEngine&oid=1_6&kw=羅技
【Logitech 羅技】迷你型USB無線接受器,"


299元








","
299元",●系統需求羅技Unifying相容裝置Windows10或更新版本、Windows8、Windows7MacOS10.10或更新版本●尺寸Unifying接收器高x寬x深：15公釐x9公釐x6公釐重量:1.23公克●適用羅技商品如M235M238M325M310tM331M350M545M560M570M585M590M705M905MxAnywhere2/2sMxMaster2/2sMXErgoK270K360rK375sK400rK400PlusK580MK270(920-004496舊款)MK330MK520rMK545MK710MK850●保固資訊1年有限硬體保固,https://m.momoshop.com.tw/goods.momo?i_code=5221064&mdiv=searchEngine&oid=1_7&kw=羅技
【Logitech 羅技】C310 HD 網路攝影機,"


849元








","
849元","●系統需求：Windows7,Windows8,Windows10或更新版本macOS10.10或更高版本ChromeOS●基本需求：1GHz512MB以上的RAM200MB硬碟空間網際網路連線USB1.1連接埠(建議使用USB2.0)適用於HD720p視訊通話與HD錄製：2.4GHzIntelCore2Duo2GBRAM200MB硬碟空間USB2.0連接埠1Mbps或更快的上傳速度1280x720螢幕解析度●技術規格產品規格：HD視訊通話(1280X720像素)，使用建議的系統HD視訊拍攝：最高可達1280X720像素羅技FluidCrystal？技術照片：最高可達500萬像素(軟體增強處理)內建具降低雜音功能的麥克風高速USB2.0認證(建議使用)電腦螢幕通用腳架，適用於筆記型電腦、LCD或CRT螢幕羅技網路攝影機軟體：平移、傾斜和縮放控制視訊與照片拍攝臉部追蹤動作偵測需安裝的軟體可於www.logitech.com/downloads網站下載軟體功能與內容可能有所變更。其他服務需要網際網路連線和註冊。部分照片為模擬照。可搭配大多數即時傳訊應用程式使用●保固資訊2年有限硬體保固●包裝內容含1.5公尺連接線的網路攝影機使用者文件",https://m.momoshop.com.tw/goods.momo?i_code=2904028&mdiv=searchEngine&oid=1_8&kw=羅技
【Logitech 羅技】M590 多工靜音無線滑鼠,"


990元








","
990元",●系統需求藍牙必要：藍牙低耗電技術Windows10或更新版本、Windows8MacOSX10.10或更新版本ChromeOSAndroid5.0或更新版本Unifying接收器一個可用的USB連接埠Windows10或更新版本、Windows8、Windows7MacOSX10.05或更新版本ChromeOSLinux●尺寸滑鼠高x寬x深：103公釐x64公釐x40公釐重量（含電池）101公克Unifying接收器高x寬x深：14.9公釐x14.3公釐x6.5公釐重量:1.63公克●技術規格連線類型:BluetoothSmart與2.4GHz無線連線無線傳輸範圍:10公尺*(*視使用方式及運算條件而異。)電池詳細資訊:1顆3號AA電池電池壽命:2年*(*視使用方式及運算條件而異。)感應器技術:羅技先進光學追蹤技術感應器解析度:1000dpi滾輪:有按鍵數:7標準與特殊按鍵:具備中鍵點按功能的傾斜滾輪、EasySwitch手勢支援(Windows):有手勢支援(Mac):有選用軟體:LogitechOptions和LogitechFlow●保固資訊1年有限硬體保固●包裝內容M590滑鼠1顆3號AA電池(預裝)USB接收器使用者文件,https://m.momoshop.com.tw/goods.momo?i_code=5648426&mdiv=searchEngine&oid=1_9&kw=羅技
【Logitech 羅技】MK270r無線鍵鼠組(黑色),"


729元








","
729元","●系統需求Windows個人電腦WindowsVista,WindowsXP,Windows7,Windows8,Windows10ChromeOS●保固資訊3年有限硬體保固●包裝內容鍵盤滑鼠超小型接收器2個4號AAA(鍵盤)和1個3號AA(滑鼠)電池使用者文件●此為繁體中文版本",https://m.momoshop.com.tw/goods.momo?i_code=3539798&mdiv=searchEngine&oid=1_10&kw=羅技
