,name,price,Original_price,star,reviews,sold,stock,seller,seller_link,seller_from,category,brand,description,link
0,Star Sellergenius mouse pen 1608x 6x8 graphic tablet,Rp790.000,,,,6,Kuantitastersisa 5 buah,emalljakarta,https://id.xiapibuy.com/emalljakarta,"KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID",ShopeeKomputer & AksesorisMouse & KeyboardsMouse Pad,Genius,"Genius MousePen i608x mempunyai bidang kerja yang luas (6' x 8') dengan resolusi yang cukup besar 2560 LPI dan pressure sensitifity (sensitifitas tekanan) sampai dengan level 1024. Disamping itu spesifikasi MousePen i608x juga dilengkapi dengan mouse dan pen yang semuanya tanpa kabel, serta 29 hot key yang bisa diprogram sesuai dengan keinginan anda.
..com/-V4kAEWfdia8/ThLJ3SOIgBI/AAAAAAAAAOw/8QmtZMMoOEs/s320/genius_31100029101.jpg

Ringkasan Review MousePen i608x:
- Area kerja 6' x 8'
- Resolusi 2560 LPI
- Senitifitas 1024 PresSensi
- 29 Hotkey yang bisa di program ulang
- Pen dan Mouse tanpa kabel
- Sambungan menggunakan USB
- Bisa jalan di OS Windows 2000/XP/Vista/7/8/10 ataupun MAC

Garansi Resmi 1th",https://id.xiapibuy.com//genius-mouse-pen-1608x-6x8-graphic-tablet-i.12031235.1183765886
1,Star SellerMOUSE WIRELESS GENIUS NX-7005 ORIGINAL,Rp130.000,,,,0,Kuantitastersisa 20 buah,autobarcode,https://id.xiapibuy.com/autobarcode,"KOTA SURABAYA - TAMBAKSARI, JAWA TIMUR, ID",ShopeeKomputer & AksesorisMouse & KeyboardsMouse Pad,Genius,"Mouse Wireless GENIUS NX 7005 Blue Eye Original
Garansi resmi 1 tahun
Warna:
Black
Red
Blue
Green
Konektor : USB.
Resolusi : 1200 dpi.
System requirements : 
Windows 7, 8, 8.1, 10.
Mac OS X 10.8 atau yang lebih baru.
3 tombol : kiri, kanan, tombol tengah dengan scroll.
Respon Frekuensi : 2.4 GHz.
Sensor Engine : BlueEye.
Berat : 79 g.
Dimensi Mouse : 58x100x39 mm.",https://id.xiapibuy.com//MOUSE-WIRELESS-GENIUS-NX-7005-ORIGINAL-i.55640613.2008774637
2,Mouse genius dx125,Rp54.500,,,,0,Kuantitastersisa 5 buah,rajendra1607,https://id.xiapibuy.com/rajendra1607,"KAB. SIDOARJO - WARU, JAWA TIMUR, ID",ShopeeKomputer & AksesorisMouse & KeyboardsMouse Pad,Genius,"Mouse usb cable 
Warna hitam 
Merk genius 

Ready stock 
Silakan diorder ...",https://id.xiapibuy.com//Mouse-genius-dx125-i.222799263.5026455538
3,Harga Termurah Genius Mousepen i608x,Rp519.800,,,,0,Kuantitastersisa 1 buah,suta_89,https://id.xiapibuy.com/suta_89,"KAB. PEKALONGAN - TIRTO, JAWA TENGAH, ID",ShopeeKomputer & AksesorisMouse & KeyboardsMouse Pad,Genius,"Genius Mousepen I608X 6 X 8 Pen Stylus Tablet With Cordless Mouse I608 
6 x 8 working area for drawing and handwriting
3-button cordless wheel mouse for fast browsing on the Internet and in documents
Pen clip design for pen easy storage
Make handwriting notes/drawings efficiently in email, MSN, documents, or any application program
1024-level pressure sensitivity for all shapes and thickness control
",https://id.xiapibuy.com//Harga-Termurah-Genius-Mousepen-i608x-i.252617221.7835582443
4,Star SellerMouse Genius USB Baru + Free Mousepad Logitech,Rp32.500,,4.2,5,33,Kuantitastersisa 53 buah,tyoshop,https://id.xiapibuy.com/tyoshop,"KOTA BEKASI - BEKASI UTARA, JAWA BARAT, ID",ShopeeKomputer & AksesorisMouse & KeyboardsMouse Pad,Genius,"Mouse Genius NS-120 
Bonus MOusepad New setiap pembelian Mouse Genius
Port USB
Design Bagus
nyaman di Genggam
Kabel Tebal&Panjang
(bukan Abal"")
GARANSI 1 BULAN
dijamin Josss deh gan..
silahkan langsung Order aja
stock ready...",https://id.xiapibuy.com//Mouse-Genius-USB-Baru-Free-Mousepad-Logitech-i.8587449.54253808
5,MOUSE GENIUS DX-125,Rp53.000,,,,0,Kuantitastersisa 20 buah,prayit_2010.,https://id.xiapibuy.com/prayit_2010.,"KOTA KEDIRI - KEDIRI KOTA, JAWA TIMUR, ID",ShopeeKomputer & AksesorisMouse & KeyboardsMouse Pad,Genius,"MOUSE GENIUS DX-125
#original",https://id.xiapibuy.com//MOUSE-GENIUS-DX-125-i.5087369.4432261733
6,Mouse Genius Second,Rp25.000,,,,0,Kuantitastersisa 20 buah,asrulmf48,https://id.xiapibuy.com/asrulmf48,"KAB. BANDUNG BARAT - PADALARANG, JAWA BARAT, ID",ShopeeKomputer & AksesorisMouse & KeyboardsMouse Pad,Genius,Stok Banyak Barang Gudang,https://id.xiapibuy.com//Mouse-Genius-Second-i.216874630.5236307386
7,Mouse Genius Net Scroll 120 (Black)-Mouse Genius,Rp25.000,,,,0,Kuantitastersisa 100 buah,wiwitdari,https://id.xiapibuy.com/wiwitdari,"KOTA JAKARTA BARAT - CENGKARENG, DKI JAKARTA, ID",ShopeeKomputer & AksesorisMouse & KeyboardsMouse Pad,Genius,"Mouse Genius Net Scroll 120 ( Warna hitam )

Spesifikasi:
- Garansi 3 Bulan
- Barang Baru 100%
- Laser optik warna merah
- Resolusi 800 dpi
- Konektifitas USB, wired/kabel
- OS support Windows ME/2003/XP/Vista/7/8, Mac
- Kabel Tebal & Panjang
- Desain praktis dan nyaman di tangan

Cocok untuk pengusaha warnet yang selalu bermasalah dengan Mouse.",https://id.xiapibuy.com//Mouse-Genius-Net-Scroll-120-(Black)-Mouse-Genius-i.95415590.1807118901
8,MOUSE GENIUS DX125 USB,Rp52.000,,,,0,Kuantitastersisa 10 buah,rumahkom.online,https://id.xiapibuy.com/rumahkom.online,"KAB. SLEMAN - DEPOK, DI YOGYAKARTA, ID",ShopeeKomputer & AksesorisMouse & KeyboardsMouse Pad,Genius,"Mouse Genius DX-125 Dengan 1000 dpi sensor optik yang memiliki akurasi yang lebih tinggi dibandingkan dengan mouse optik standar. Desain simetris membuatnya besar untuk kedua tangan.

*Spec :
Konektor : USB.
Resolusi : 1000 dpi optical engine.
Support System : Windows 7, 8, 8.1, 10 Mac OS 10.7.4 atau lebih baru, Chrome OS.
3 tombol mouse : tombol kiri / kanan, tombol tengah dengan scroll.
Panjang kabel : 1.5 m.",https://id.xiapibuy.com//MOUSE-GENIUS-DX125-USB-i.177632123.6235482128
9,Mouse USB Genius NetScroll 120 Black,Rp39.900,,5.0,1,1,Kuantitastersisa 100 buah,bellvinastore,https://id.xiapibuy.com/bellvinastore,"KOTA SURAKARTA (SOLO) - LAWEYAN, JAWA TENGAH, ID",ShopeeKomputer & AksesorisMouse & KeyboardsMouse Pad,Genius," Mouse USB Genius NetScroll 120 Black 

Mouse Genius Net Scroll 120 ( Warna hitam )

Spesifikasi:

- Barang Baru 100%
- Laser optik warna merah
- Resolusi 800 dpi
- Konektifitas USB, wired/kabel
- OS support Windows ME/2003/XP/Vista/7/8, Mac
- Kabel Tebal & Panjang
- Desain praktis dan nyaman di tangan ",https://id.xiapibuy.com//Mouse-USB-Genius-NetScroll-120-Black-i.166218141.2684120382
