品名,價格,價格2,折扣%,評價,評論數
Logitech M100R Wired Optical Mouse,₹449,₹495,9% off,3.9,"(1,662)"
Logitech M90 Wired Optical  Gaming Mouse,₹349,₹395,11% off,4.3,"(1,042)"
Logitech Mk235 Mouse & Wireless Laptop Keyboard,"₹1,299","₹1,995",34% off,4.3,"(1,675)"
Logitech MK240 Wireless Keyboard and Mouse Combo,"₹1,399","₹1,500",6% off,4.4,"(23,712)"
Logitech MK220 Mouse & Wireless Laptop Keyboard,"₹1,249","₹1,790",30% off,4.3,"(13,378)"
Logitech K120 Wired USB Desktop Keyboard,₹549,₹695,21% off,4.4,"(3,004)"
Logitech MK240 Wireless Keyboard and Mouse Combo,"₹1,399","₹1,500",6% off,4.3,"(5,704)"
Logitech MK275 Mouse & Wireless Laptop Keyboard,"₹1,521","₹2,095",27% off,4.4,"(1,311)"
Logitech K120 DEVNAGRI (HINDI+ENGLISH) Wired USB Deskto...,₹725,₹795,8% off,4.3,(110)
Logitech MK345 Mouse & Wireless Laptop Keyboard,"₹2,089","₹2,995",30% off,4.3,(630)
Logitech B175 Wireless Optical Mouse,₹599,₹925,35% off,4.5,"(87,894)"
Logitech B100 Wired Optical Mouse,₹279,₹345,19% off,4.4,"(16,513)"
Logitech HD Webcam C270,"₹1,499","₹1,995",24% off,4.3,"(3,161)"
Logitech M221 Silent USB Mouse (Black) Wireless Optical...,"₹1,099","₹1,398",21% off,4.8,(9)
Logitech B170 Wireless Optical Mouse,₹599,₹795,24% off,4.5,"(4,635)"
Logitech USB Headset H340 Wired Headset,"₹2,285","₹2,595",11% off,4.2,(185)
Logitech Z120 MINI USB POWERED STEREO Speaker Mount,₹949,"₹1,195",20% off,,
Logitech K480 Multi Device Bluetooth Keyboard-Black Wir...,"₹2,374","₹2,995",20% off,4.4,(172)
Logitech k480 Bluetooth Multi-device Keyboard,"₹2,295","₹2,995",23% off,4.3,(61)
Logitech G402 Wired Optical Gaming Mouse,"₹2,599","₹2,990",13% off,4.7,"(2,460)"
Logitech MK200 Mouse & Wired USB Laptop Keyboard,"₹1,129","₹1,395",19% off,4.4,"(2,401)"
Logitech MK120 USB 2.0 Keyboard and Mouse Combo,₹950,"₹1,199",20% off,4.3,(780)
Logitech K120 Wired Keyboard Wired USB Desktop Keyboard,₹740,₹795,6% off,5,(3)
Logitech G102 Wired Optical  Gaming Mouse,"₹1,899","₹1,999",5% off,4.6,"(2,671)"
"Logitech MK850 PERFORMANCE Bluetooth, Smart Connector, ...","₹5,759","₹7,495",23% off,4.6,(9)
Logitech G413 Wired USB Gaming Keyboard,"₹5,995","₹7,495",20% off,4.9,(33)
Logitech K400r wireless touch keyboard,"₹3,520","₹3,600",2% off,4.4,(397)
Logitech 01 Mousepad,₹99,₹243,59% off,3.9,"(3,078)"
Logitech M-171 Wireless Optical Mouse,₹579,₹825,29% off,4.5,"(2,529)"
Logitech G502 USB Gaming Mouse (Black) Wired Optical  G...,"₹4,599","₹6,497",29% off,,
Logitech C310 HD Webcam,"₹1,979","₹2,295",13% off,4.4,"(1,681)"
Logitech M-171 Wireless Optical Mouse,₹599,₹825,27% off,4.5,"(2,529)"
Logitech 993-000439 USB Adapter,₹663,"₹2,295",71% off,3.8,(5)
Logitech Car Mobile Holder for Dashboard,"₹1,584","₹3,287",51% off,,
Logitech K120 USB Keyboard Black Wired USB Multi-device...,₹695,,,,
Logitech K230 Wireless Laptop Keyboard,"₹1,035","₹1,095",5% off,4.3,"(6,954)"
Logitech Logitech Ultrathin Bluetooth Keyboard for ipad...,"₹3,500","₹6,700",47% off,4.1,(17)
Logitech K380 Multi-device Bluetooth Keyboard Bluetooth...,"₹3,495","₹3,990",12% off,,
Logitech K120 Wired USB Multi-device Keyboard,₹795,"₹1,238",35% off,,
Logitech k375s Bluetooth Laptop Keyboard,"₹2,291",,,4.4,(19)
Logitech Stereo Headset H110 Wired Headset,₹694,₹850,18% off,4.3,(4)
Logitech Keyboard Case for Apple iPad Air 2,"₹5,429","₹19,998",72% off,,
Logitech Create 9.7 inch iPad Pro Smart Connector Table...,"₹9,999","₹10,000",,3.2,(5)
Logitech MK120 USB 2.0 Keyboard and Mouse Combo,"₹1,099","₹1,199",8% off,4.3,(780)
Logitech K 400 PLUS TV Wireless Laptop Keyboard,"₹3,095","₹3,995",22% off,4.3,(412)
