,name,price,Original_price,star,reviews,sold,stock,seller,seller_link,seller_from,category,brand,description,link
0,Mouse Genius DX 125 USB,50.000,,,,0,Kuantitastersisa 10 buah,cepi.caplin84,https://id.xiapibuy.com/cepi.caplin84,"KAB. BANDUNG - MAJALAYA, JAWA BARAT, ID",ShopeeKomputer & AksesorisMouse & Keyboards,,"Specifications:
Dimension(W x H x D):105 x 65 x 36mm
Body weight:90g
Box:95 x 40 x 155mm

OS Support: Windows 7/Vista/XP or Mac OS X 10.4+
Port: USB cable
Resolution(dpi): 1200 dpi
Cordless: No
Buttons: Three buttons (left, middle button with scroll wheel, right)
Optical Sensor: YES

Happy Shopping",https://id.xiapibuy.com//Mouse-Genius-DX-125-USB-i.46908574.5207767497
1,Mouse Genius NX7015 Wireless,135.000,,,,0,Kuantitastersisa 5 buah,kharisma.computer,https://id.xiapibuy.com/kharisma.computer,"KOTA YOGYAKARTA - GONDOMANAN, DI YOGYAKARTA, ID",ShopeeKomputer & AksesorisMouse & Keyboards,,"Original Genius
Blue eye (dapat di permukaan kaca)
",https://id.xiapibuy.com//Mouse-Genius-NX7015-Wireless-i.66873377.5131501263
2,｀ LVB Keyboard Genius USB ❉,136.000,,,,0,Kuantitastersisa 167 buah,rahayrsubur,https://id.xiapibuy.com/rahayrsubur,"KOTA JAKARTA TIMUR - MAKASAR, DKI JAKARTA, ID",ShopeeKomputer & AksesorisMouse & KeyboardsKeyboard,,"★★★★★
H Keyboard Genius Usb Keyboard Genius USB 
Keyboard Pc Genius USB 
Keyboard Komputer Genius USB 

Selama barang masih ada postingannya berarti stock produk tersebut ready.
",https://id.xiapibuy.com//｀-LVB-Keyboard-Genius-USB-❉-i.199447805.5126989486
3,Mouse Genius DX-110 USB,,,,,0,Kuantitastersisa 0 buah,indomediakomputer,https://id.xiapibuy.com/indomediakomputer,"KAB. SLEMAN - MLATI, DI YOGYAKARTA, ID",ShopeeKomputer & AksesorisMouse & Keyboards,,"System requirements :
Windows 7, 8, 8.1, 10
Mac OS 10.7.4 or later
USB Port

Specifications
Sensor engine : Optical
Cable length : 1.5m
Number of buttons : 3 (left, right, middle button with scroll)
Colors : Calm black
Weight : 85 g
Dimensions (W x H x D) : 60 x 105 x 37 mm (2.36 x 4.13 x 1.46 inches)
Resolution (DPI) : 1000",https://id.xiapibuy.com//Mouse-Genius-DX-110-USB-i.41486473.5120730684
4,❀ Wireless Mouse Genius NX7000 NX-7000 ☆,149.000 - 151.000,,,,0,Kuantitastersisa 79 buah,jaswadimall,https://id.xiapibuy.com/jaswadimall,"KOTA JAKARTA BARAT - TAMBORA, DKI JAKARTA, ID",ShopeeKomputer & AksesorisMouse & Keyboards,,"Wireless Mouse Genius Nx7000 Nx-7000

============================================================

Senin - Jum'at (10.00 - 17.00)
Sabtu, Minggu, & Hari Libur ( Chatting Slow Response )

Pemesanan :
Senin - Jum'at dibawah pukul 15.00 dikirim hari yang sama
Sabtu - Minggu, & Libur, dikirim hari Senin / sehabis liburan
============================================================

Features:
- 2.4Ghz wireless mouse
- 1200 dpi BlueEye sensor for smooth movement control
- universal USB Pico receiver
- power switch extends battery life
- contoured shape great for either hand

System requirements:
- Windows 7/8 or above,
- Mac OSX 10.4+ or above
- available USB Port

Package content:
- USB Pico receiver
- quick guide

Specifications:
- interface: USB
- RF frequency 2.4GHz
- three buttons: left, right, middle button with scroll
- resolution: 1200 dpi BlueEye engine
- battery: 1x AA
- dimension: 100x58x39 mm
- package size: 90x41x132 mm
- body Weight: 55g

  genius genius   



BUDAYAKAN MEMBACA SEBELUM MEMBELI :
*) Pemilihan warna & ukuran hanya melalui kolom ""KETERANGAN/CATATAN"" saat order, bukan melalui CHAT & DISKUSI.
*) Wajib mendokumentasikan saat membuka paket dalam bentuk video untuk berjaga-jaga jika ada barang yang tidak sesuai /rusak/cacat sebagai syarat retur di toko kami
*) Jika anda memutuskan untuk MEMBELI maka kami anggap anda SETUJU dengan aturan di atas
*) TIDAK MENERIMA RETUR & KOMPLAIN DALAM BENTUK APAPUN


***** Baca Catatan Wajib Dibaca Sebelum Transaksi *****
***** Cek Stock sebelum Order *****
***** Produk yang telah dibeli tidak dapat dikembalikan *****
***** TIDAK MENERIMA RETUR & KOMPLAIN DALAM BENTUK APAPUN *****


*NB : Mohon untuk konfirmasi atau menambahkan feedback jika barang sudah diterima. Happy Shoping !! (^_^)",https://id.xiapibuy.com//❀-Wireless-Mouse-Genius-NX7000-NX-7000-☆-i.172427090.5117592458
5,Mouse Genius Micro Traveler V2,,,,,0,Kuantitastersisa 0 buah,alnectkomputer,https://id.xiapibuy.com/alnectkomputer,"KAB. SLEMAN - DEPOK, DI YOGYAKARTA, ID",ShopeeKomputer & AksesorisMouse & Keyboards,,"Deskripsi Mouse Genius Micro Traveler V2
Ukuran super mini notebook dengan kabel ditarik
mudah pasang dan mainkan antarmuka USB
portabilitas yang bagus dan kenyamanan yang lebih baik dibanding notebook touch pad
kontrol presisi canggih dengan mesin optik 1000 dpi
Persyaratan sistem: Windows Vista / XP / 2000
MAC OS X atau yang lebih baru
tersedia USB-port
isi paket: Genius mouse Micro Traveler V2
Resolusi: 1000 dpi mesin optik
dimensi: 74x39x28 mm
Ukuran kotak hadiah: 185x111x70 mm

CATATAN:
* Alnect Care Warranty: 7 Hari
* Standard Warranty: 30 Hari
* Seluruh pelangan wajib tunduk pada syarat dan aturan yang berlaku di ALNECT KOMPUTER
* Teliti sebelum membeli, Pastikan produk yang anda beli sesuai dengan kebutuhan anda.
* Spesifikasi lengkap dapat di cek melalui website resmi masing-masing produk.
* Request warna, ukuran atau model, Wajib dicantumkan pada keterangan saat order. Jika tidak maka kami akan kirim secara random.
* Seluruh produk wajib asuransi, Kerusakan dan kehilangan saat pengirimanan di luar tanggung jawab kami.
* Barang yang sudah di beli tidak dapat di tukar atau dikembalikan.",https://id.xiapibuy.com//Mouse-Genius-Micro-Traveler-V2-i.134664985.5034438948
6,Mouse Genius DX-110 USB Wired Optic Kabel,60.000,,,,0,Kuantitastersisa 5 buah,ww.digital,https://id.xiapibuy.com/ww.digital,"KAB. SLEMAN - DEPOK, DI YOGYAKARTA, ID",ShopeeKomputer & AksesorisMouse & Keyboards,,"Fitur:
- Sensor optik standar beresolusi 800dpi
- Desain yang sangat nyaman di genggaman tangan kanan maupun tangan kiri anda
- Dilengkapi net scrool yang memudahkan bernavigasi di web browser dan office dokumen
- Plug & Play USB
- 1000 DPI",https://id.xiapibuy.com//Mouse-Genius-DX-110-USB-Wired-Optic-Kabel-i.83393368.5030384882
7,Star SellerGenius Dx120 Mouse Optic Kabel Usb,55.000,,,,0,Kuantitastersisa 20 buah,r1sno27,https://id.xiapibuy.com/r1sno27,"KAB. TANGERANG - SEPATAN, BANTEN, ID",ShopeeKomputer & AksesorisMouse & Keyboards,,"Genius Mouse Dx120 Wired Optical Mouse

Deskripsi
Wired Mouse
Resolution 1000 DPI
3 Buttons
Optical Sensor Engine
USB Port
Cable Length 1.5m

Garansi Resmi Genius 1th",https://id.xiapibuy.com//Genius-Dx120-Mouse-Optic-Kabel-Usb-i.3324948.5029984537
8,Produk Terkini GROSIR Mouse wireless GENIUS nx 7 Blue Eye Technology Murah✵,159.000,,,,0,Kuantitastersisa 156 buah,jasajuara,https://id.xiapibuy.com/jasajuara,"KOTA JAKARTA PUSAT - MENTENG, DKI JAKARTA, ID",ShopeeKomputer & AksesorisMouse & Keyboards,,"★★★★
 Mouse Wireless Genius Nx 7000 Blue Eye Technology Deskripsi mouse wireless GENIUS nx 7000 blue eye technology

Speksifikasi :
* Material ABS material
* Reliable 2.4G wireless connection up to 10 meters.
* 9 Months Battery Life(With Rapoo's latest energy saving technology and power switch, you can use your mouse without power interruption for up to 9 months.)
* Connection Type USB 2.0
* 10 meter wireless transmission
* Tracking Method Optical
* Resolution 1000 dpi DPI high-definition invisible tracking engine.
* Supports System Windows XP / Vista / Windows 7 / Windows 8 / Mac OS X 10.4 or higher


Yang anda dapat dari pembelian ini :
1 x Wireless mouse
1 x Nano receiver
1 x AA battery

- Kerusakan barang bukan disebabkan oleh kesalahan penggunaan.
Selama barang masih terpampang berarti stock produk tersebut ready, jadi bisa di order langsung. 
",https://id.xiapibuy.com//Produk-Terkini-GROSIR-Mouse-wireless-GENIUS-nx-7-Blue-Eye-Technology-Murah✵-i.188079837.5029462790
9,EM Genius Paketan Keyboard Mouse PS2 KB-C100 ➠ ✲,177.000,,,,0,Kuantitastersisa 151 buah,laslmulyo,https://id.xiapibuy.com/laslmulyo,"KOTA JAKARTA PUSAT - CEMPAKA PUTIH, DKI JAKARTA, ID",ShopeeKomputer & AksesorisMouse & KeyboardsKeyboard,,"★★★★
 Genius Paketan Keyboard Mouse Ps2 Kb-C100 - PS2 connection
- Cable length 1.5 m
- Support : Windows,Vista
* Resolution(dpi) : 800 dpi
* Connection Port : PS2
* Color : Black
* OS : Windows 7, 8, 8.1, 10
* Sensor Engine : Optical
* Cable length : 1.5m
* Buttons : Three buttons (left, middle button with scroll wheel, right)
* Both Handed : YES
NB : Mohon untuk konfirmasikan atau menambahkan ulasan jika barang sudah sampai ditangan pelanggan. Terima kasih!
",https://id.xiapibuy.com//EM-Genius-Paketan-Keyboard-Mouse-PS2-KB-C100-➠-✲-i.189419164.5027509463
