品名,價格,原價,售出量,網址
MOUSE WIRED USB MOUSE GENIUS DX 110 /DX-110 100%NEW,12.500,,455 Terjual,https://ph.xiapibuy.com//MOUSE-WIRED-USB-MOUSE-GENIUS-DX-110-DX-110-100-NEW-i.63016980.1078529921
MOUSE WIRED GENIUS / MOUSE WIRED / GENIUS 120 / DX110,12.000,,529 Terjual,https://ph.xiapibuy.com//MOUSE-WIRED-GENIUS-MOUSE-WIRED-GENIUS-120-DX110-i.63016980.1077370281
MOUSE GENIUS DX 110 USB / MOUSE WIRED / DX-110 FREE MOUSE PAD LOGITECH,35.000,,37 Terjual,https://ph.xiapibuy.com//MOUSE-GENIUS-DX-110-USB-MOUSE-WIRED-DX-110-FREE-MOUSE-PAD-LOGITECH-i.63016980.1348478904
MOUSE WIRELESS GENIUS NX-7005 100% NEW,49.900,,4 Terjual,https://ph.xiapibuy.com//MOUSE-WIRELESS-GENIUS-NX-7005-100-NEW-i.63016980.5933888223
Mouse Genius USB NetScroll 120,29.900,,322 Terjual,https://ph.xiapibuy.com//Mouse-Genius-USB-NetScroll-120-i.63016980.1152916049
Mouse Genius DX-120,100.000,,431 Terjual,https://ph.xiapibuy.com//Mouse-Genius-DX-120-i.64438694.1056855962
Mouse Genius USB NetScroll 120 Optical,23.500,,728 Terjual,https://ph.xiapibuy.com//Mouse-Genius-USB-NetScroll-120-Optical-i.6768161.521952652
Keyboard Genius USB,90.000,,31 Terjual,https://ph.xiapibuy.com//Keyboard-Genius-USB-i.25122426.7520229419
Mouse USB  Genius 120/MOUSE KABEL GENIUS 120/MOUSE WIRED GENIUS 120,29.900,,195 Terjual,https://ph.xiapibuy.com//Mouse-USB-Genius-120-MOUSE-KABEL-GENIUS-120-MOUSE-WIRED-GENIUS-120-i.117835703.1799972307
Mouse PS2 Genius Mouse Kabel PS2 Mouse Genius,46.800,Rp52.000,5 Terjual,https://ph.xiapibuy.com//Mouse-PS2-Genius-Mouse-Kabel-PS2-Mouse-Genius-i.28040890.7516865650
Genius KB-125 - wired keyboard,100.000,,5 Terjual,https://ph.xiapibuy.com//Genius-KB-125-wired-keyboard-i.25647746.6411514743
Speaker Genius SP-HF160,110.000,,6 Terjual,https://ph.xiapibuy.com//Speaker-Genius-SP-HF160-i.26009573.1368664230
Mouse wireless Genius NX-7005,105.000,,3 Terjual,https://ph.xiapibuy.com//Mouse-wireless-Genius-NX-7005-i.21500214.7818324169
MOUSE USB GENIUS,26.000,,14 Terjual,https://ph.xiapibuy.com//MOUSE-USB-GENIUS-i.102655935.1894735894
Wireless Mouse Genius NX7000 NX-7000,92.000,,35 Terjual,https://ph.xiapibuy.com//Wireless-Mouse-Genius-NX7000-NX-7000-i.26009573.1360031832
Genius Stylus Pen for Genius i405x danGenius i608x,350.000,,9 Terjual,https://ph.xiapibuy.com//Genius-Stylus-Pen-for-Genius-i405x-danGenius-i608x-i.19826704.212452782
Mouse Mini Genius Micro Traveller Retrac Retracabel USB Tarik Ulur Mikro Traveler,125.000,,2 Terjual,https://ph.xiapibuy.com//Mouse-Mini-Genius-Micro-Traveller-Retrac-Retracabel-USB-Tarik-Ulur-Mikro-Traveler-i.40715710.1583326923
Genius EasyPen i405X 4 x 5.5 inch Stylus Graphic Tablet / Pen stylus,535.000,,6 Terjual,https://ph.xiapibuy.com//Genius-EasyPen-i405X-4-x-5.5-inch-Stylus-Graphic-Tablet-Pen-stylus-i.60901488.991374443
Genius NX-7000 BlueEye Optical Wireless Mouse,100.000,,7 Terjual,https://ph.xiapibuy.com//Genius-NX-7000-BlueEye-Optical-Wireless-Mouse-i.4554892.483839076
Mouse Genius DX 125 USB,50.000,,4 Terjual,https://ph.xiapibuy.com//Mouse-Genius-DX-125-USB-i.25647746.311127394
GAMEPAD GENIUS MAXFIRE BLAZE 3,100.000,,1 Terjual,https://ph.xiapibuy.com//GAMEPAD-GENIUS-MAXFIRE-BLAZE-3-i.109578153.5733237223
GENIUS G PRN 4500 WITH CORDLES MOUSE N PEN,250.000,,1 Terjual,https://ph.xiapibuy.com//GENIUS-G-PRN-4500-WITH-CORDLES-MOUSE-N-PEN-i.109578153.4533240171
Mouse Wireless GENIUS NX-7000,98.000,,1 Terjual,https://ph.xiapibuy.com//Mouse-Wireless-GENIUS-NX-7000-i.24539943.3511379125
HEADSET GENIUS HS-M505X STEREO,155.000,,1 Terjual,https://ph.xiapibuy.com//HEADSET-GENIUS-HS-M505X-STEREO-i.24539943.3122171022
Mouse Genius DX 125 USB,55.000,,11 Terjual,https://ph.xiapibuy.com//Mouse-Genius-DX-125-USB-i.29280008.2374156532
Mouse Wireless Genius NX7000,95.000,,1 Terjual,https://ph.xiapibuy.com//Mouse-Wireless-Genius-NX7000-i.12031235.2222064516
GENIUS NX 7000 MOUSE WIRELLESS ORIGINAL GENIUS,110.000,,1 Terjual,https://ph.xiapibuy.com//GENIUS-NX-7000-MOUSE-WIRELLESS-ORIGINAL-GENIUS-i.10263233.1521809243
Genius Mouse Wireless NX 7015,130.000,,3 Terjual,https://ph.xiapibuy.com//Genius-Mouse-Wireless-NX-7015-i.12031235.1321593858
Genius EasyPen i405X 4 x 5.5 inch Pen Stylus Graphic Tablet,600.000,,8 Terjual,https://ph.xiapibuy.com//Genius-EasyPen-i405X-4-x-5.5-inch-Pen-Stylus-Graphic-Tablet-i.4408181.364554899
Genius Numpad i110 slim numerik keypad,130.000,,3 Terjual,https://ph.xiapibuy.com//Genius-Numpad-i110-slim-numerik-keypad-i.20823421.236273921
Genius G-PEN i608x,700.000,,16 Terjual,https://ph.xiapibuy.com//Genius-G-PEN-i608x-i.19826704.212455218
Genius Easypen I405x 4 X 5.5 Inch Stylus Graphic Tablet / Pen Stylus,590.000,,9 Terjual,https://ph.xiapibuy.com//Genius-Easypen-I405x-4-X-5.5-Inch-Stylus-Graphic-Tablet-Pen-Stylus-i.2948389.65631296
Mouse Genius Wireless NX-7000,98.000,,19 Terjual,https://ph.xiapibuy.com//Mouse-Genius-Wireless-NX-7000-i.8287466.51866344
KEYBOARD GENIUS KB-M 230,115.000,,,https://ph.xiapibuy.com//KEYBOARD-GENIUS-KB-M-230-i.83915912.7934457927
