品名,價格(單位:千),原價(單位:千),售出量,網址
Keyboard Genius USB,90.000,,31,https://id.xiapibuy.com//Keyboard-Genius-USB-i.25122426.7520229419
Mouse Genius DX-120,100.000,,443,https://id.xiapibuy.com//Mouse-Genius-DX-120-i.64438694.1056855962
Mouse Genius USB NetScroll 120 Optical,23.500,,728,https://id.xiapibuy.com//Mouse-Genius-USB-NetScroll-120-Optical-i.6768161.521952652
Genius EasyPen i405X 4 x 5.5 inch Stylus Graphic Tablet / Pen stylus,535.000,,6,https://id.xiapibuy.com//Genius-EasyPen-i405X-4-x-5.5-inch-Stylus-Graphic-Tablet-Pen-stylus-i.60901488.991374443
Genius Stylus Pen for Genius i405x danGenius i608x,350.000,,9,https://id.xiapibuy.com//Genius-Stylus-Pen-for-Genius-i405x-danGenius-i608x-i.19826704.212452782
Mouse USB  Genius 120/MOUSE KABEL GENIUS 120/MOUSE WIRED GENIUS 120,29.900,,195,https://id.xiapibuy.com//Mouse-USB-Genius-120-MOUSE-KABEL-GENIUS-120-MOUSE-WIRED-GENIUS-120-i.117835703.1799972307
Wireless Mouse Genius NX7000 NX-7000,92.000,,35,https://id.xiapibuy.com//Wireless-Mouse-Genius-NX7000-NX-7000-i.26009573.1360031832
MOUSE USB GENIUS DX-125 ORIGINAL,49.000,,2,https://id.xiapibuy.com//MOUSE-USB-GENIUS-DX-125-ORIGINAL-i.159191391.2410919411
MOUSE USB GENIUS,26.000,,14,https://id.xiapibuy.com//MOUSE-USB-GENIUS-i.102655935.1894735894
Genius EasyPen i405X 4 x 5.5 inch Pen Stylus Graphic Tablet,600.000,,8,https://id.xiapibuy.com//Genius-EasyPen-i405X-4-x-5.5-inch-Pen-Stylus-Graphic-Tablet-i.4408181.364554899
Genius G-PEN i608x,700.000,,16,https://id.xiapibuy.com//Genius-G-PEN-i608x-i.19826704.212455218
Mouse PS2 Genius Mouse Kabel PS2 Mouse Genius,49.920,52.000,5,https://id.xiapibuy.com//Mouse-PS2-Genius-Mouse-Kabel-PS2-Mouse-Genius-i.28040890.7516865650
Genius KB-125 - wired keyboard,100.000,,5,https://id.xiapibuy.com//Genius-KB-125-wired-keyboard-i.25647746.6411514743
Keyboard Genius,105.000,,11,https://id.xiapibuy.com//Keyboard-Genius-i.58694758.1347922123
Genius NX-7000 BlueEye Optical Wireless Mouse,100.000,,7,https://id.xiapibuy.com//Genius-NX-7000-BlueEye-Optical-Wireless-Mouse-i.4554892.483839076
Genius G-Pen i405x,550.000,,2,https://id.xiapibuy.com//Genius-G-Pen-i405x-i.19826704.212455212
Genius Easypen I405x 4 X 5.5 Inch Stylus Graphic Tablet / Pen Stylus,590.000,,9,https://id.xiapibuy.com//Genius-Easypen-I405x-4-X-5.5-Inch-Stylus-Graphic-Tablet-Pen-Stylus-i.2948389.65631296
Mouse Genius Wireless NX-7000,98.000,,19,https://id.xiapibuy.com//Mouse-Genius-Wireless-NX-7000-i.8287466.51866344
Keyboard & Mouse Genius USB,140.000,,1,https://id.xiapibuy.com//Keyboard-Mouse-Genius-USB-i.59402203.7812721108
Keyboard + Mouse Genius Smart Kb Usb Kabel Paket Combo,139.000,,1,https://id.xiapibuy.com//Keyboard-Mouse-Genius-Smart-Kb-Usb-Kabel-Paket-Combo-i.3324948.1318860911
Mouse Genius DX 125 USB,50.000,,4,https://id.xiapibuy.com//Mouse-Genius-DX-125-USB-i.25647746.311127394
keyboard genius kb-100,95.000,,6,https://id.xiapibuy.com//keyboard-genius-kb-100-i.8287466.2442149317
Mouse wireless Genius NX-7005,105.000,,3,https://id.xiapibuy.com//Mouse-wireless-Genius-NX-7005-i.21500214.7818324169
Mouse Wireless Genius NX-7000 ORIGINAL,120.000,,,https://id.xiapibuy.com//Mouse-Wireless-Genius-NX-7000-ORIGINAL-i.111542118.2241123062
Mouse Genius USB NetScroll DX-110,50.000,,40,https://id.xiapibuy.com//Mouse-Genius-USB-NetScroll-DX-110-i.7050909.363466172
Genius Scorpion K220 - Keyboard Gaming,157.000,,16,https://id.xiapibuy.com//Genius-Scorpion-K220-Keyboard-Gaming-i.3842681.628160976
Mouse Pen Stylus Ppen Genius Drawing Tablet i608x.,347.000,,,https://id.xiapibuy.com//Mouse-Pen-Stylus-Ppen-Genius-Drawing-Tablet-i608x.-i.32110100.7418281580
Genius Mouse Wireless NX-7010,93.000,,25,https://id.xiapibuy.com//Genius-Mouse-Wireless-NX-7010-i.824996.431188899
GENIUS KB-C100 Bundle Paket Keyboard Basic Desktop & GENIUS Optical Mouse PS2,375.000,,1,https://id.xiapibuy.com//GENIUS-KB-C100-Bundle-Paket-Keyboard-Basic-Desktop-GENIUS-Optical-Mouse-PS2-i.135138014.2709208516
Mouse genius usb original,56.000,,11,https://id.xiapibuy.com//Mouse-genius-usb-original-i.25910638.849662233
MOUSE PS2 GENIUS DX-110 ORIGINAL,80.000,,10,https://id.xiapibuy.com//MOUSE-PS2-GENIUS-DX-110-ORIGINAL-i.17209726.1560902482
Mouse Wireless GENIUS NX-7000,98.000,,1,https://id.xiapibuy.com//Mouse-Wireless-GENIUS-NX-7000-i.24539943.3511379125
Mouse Genius Netscroll 120 PS2 NS-120,50.000,,4,https://id.xiapibuy.com//Mouse-Genius-Netscroll-120-PS2-NS-120-i.38313214.2504035301
MOUSE WIRELESS GENIUS NX7000 - DISASS JOGJA,94.900,,1,https://id.xiapibuy.com//MOUSE-WIRELESS-GENIUS-NX7000-DISASS-JOGJA-i.52874837.1720745629
Genius Mouse Wireless NX 7015,130.000,,3,https://id.xiapibuy.com//Genius-Mouse-Wireless-NX-7015-i.12031235.1321593858
Genius Easy Pen i405X,529.000,,2,https://id.xiapibuy.com//Genius-Easy-Pen-i405X-i.26009573.314125270
MOUSE PS2 DX 110 BLACK GENIUS,38.000,,5,https://id.xiapibuy.com//MOUSE-PS2-DX-110-BLACK-GENIUS-i.214053397.4717651340
Mouse Genius DX 125 USB,50.000,,2,https://id.xiapibuy.com//Mouse-Genius-DX-125-USB-i.101973207.4005735392
Mouse Mini Genius Micro Traveller Retrac Retracabel USB Tarik Ulur Mikro Traveler,125.000,,2,https://id.xiapibuy.com//Mouse-Mini-Genius-Micro-Traveller-Retrac-Retracabel-USB-Tarik-Ulur-Mikro-Traveler-i.40715710.1583326923
Sale Keyboard Genius Kb C 100 Tidak Dapat Mos,37.500,,1,https://id.xiapibuy.com//Sale-Keyboard-Genius-Kb-C-100-Tidak-Dapat-Mos-i.48605435.5134625314
Mouse Genius DX 125 USB,55.000,,11,https://id.xiapibuy.com//Mouse-Genius-DX-125-USB-i.29280008.2374156532
Mouse Wireless Genius NX7000,95.000,,1,https://id.xiapibuy.com//Mouse-Wireless-Genius-NX7000-i.12031235.2222064516
GENIUS NX 7000 MOUSE WIRELLESS ORIGINAL GENIUS,110.000,,1,https://id.xiapibuy.com//GENIUS-NX-7000-MOUSE-WIRELLESS-ORIGINAL-GENIUS-i.10263233.1521809243
Genius Numpad i110 slim numerik keypad,130.000,,3,https://id.xiapibuy.com//Genius-Numpad-i110-slim-numerik-keypad-i.20823421.236273921
Mouse Genius Wirelles BlueEye NX-7015,125.000,,2,https://id.xiapibuy.com//Mouse-Genius-Wirelles-BlueEye-NX-7015-i.19826704.212453646
Mouse wireless Genius white,25.000,,,https://id.xiapibuy.com//Mouse-wireless-Genius-white-i.123874816.6733504304
Genius Pen Stylus for i405x i608x,400.000,,1,https://id.xiapibuy.com//Genius-Pen-Stylus-for-i405x-i608x-i.2379253.3229013829
Keyboard Genius PS2 KB110X-PS2 Original,80.000,,2,https://id.xiapibuy.com//Keyboard-Genius-PS2-KB110X-PS2-Original-i.38313214.2155557260
Mouse Genius USB NetScroll DX-110,50.000,,4,https://id.xiapibuy.com//Mouse-Genius-USB-NetScroll-DX-110-i.7050909.1895978561
Mouse Pen Drawing Genius i608,795.000,,,https://id.xiapibuy.com//Mouse-Pen-Drawing-Genius-i608-i.3324948.1321678717
