品名,價格,原價,售出量,網址
ME Genius DX-110 Wired Mouse (Black),145,299,867,https://ph.xiapibuy.com//ME-Genius-DX-110-Wired-Mouse-(Black)-i.59709146.1261065990
"Genius NX 7000 (2.4Ghz wireless BlueEye mouse, 1200 dpi)",475,,4,https://ph.xiapibuy.com//Genius-NX-7000-(2.4Ghz-wireless-BlueEye-mouse-1200-dpi)-i.26881592.1828812003
Genius KM110X PS/2 Combo Keyboard with Mouse,530,,5,https://ph.xiapibuy.com//Genius-KM110X-PS-2-Combo-Keyboard-with-Mouse-i.20959443.1942223472
Genius KB 110 USB keyboard,450,,4,https://ph.xiapibuy.com//Genius-KB-110-USB-keyboard-i.20959443.1942109074
Genius Slimstar 130 Slim USB Keyboard,550,,7,https://ph.xiapibuy.com//Genius-Slimstar-130-Slim-USB-Keyboard-i.26881592.1074926675
Genius DX-125 USB Optical Mouse,233,,,https://ph.xiapibuy.com//Genius-DX-125-USB-Optical-Mouse-i.190204037.7218403785
MOUSE GENIUS DX-125 BLACK WIRED USB TYPE,180,,,https://ph.xiapibuy.com//MOUSE-GENIUS-DX-125-BLACK-WIRED-USB-TYPE-i.225424611.6832498272
Genius KB-110X USB Black keyboard,340,,,https://ph.xiapibuy.com//Genius-KB-110X-USB-Black-keyboard-i.35486600.6819560593
Genius A4Tech Keyboard,70,,,https://ph.xiapibuy.com//Genius-A4Tech-Keyboard-i.45816436.6735357888
genius sp u115 usb powered speaker,493,,,https://ph.xiapibuy.com//genius-sp-u115-usb-powered-speaker-i.190204037.6717205430
Free Shipping COD Brandnew Genius SP906BT Portable Bluetooth Speaker Loud and Extra Bass,"1,499","3,000",,https://ph.xiapibuy.com//Free-Shipping-COD-Brandnew-Genius-SP906BT-Portable-Bluetooth-Speaker-Loud-and-Extra-Bass-i.6619964.5434320728
KEYBOARD GENIUS KB100 BLACK WIRED USB TYPE,310,,,https://ph.xiapibuy.com//KEYBOARD-GENIUS-KB100-BLACK-WIRED-USB-TYPE-i.225424611.4832477848
Genius GX Gaming Mousepad,280,,,https://ph.xiapibuy.com//Genius-GX-Gaming-Mousepad-i.101606686.4732510554
Genius GX Gaming Maurus Black,850,,,https://ph.xiapibuy.com//Genius-GX-Gaming-Maurus-Black-i.101606686.3432723643
Genius Ergonomic Stylish Wireless Mouse w/ BlueEye Sensor Technology - Ocean Blue,475,,,https://ph.xiapibuy.com//Genius-Ergonomic-Stylish-Wireless-Mouse-w-BlueEye-Sensor-Technology-Ocean-Blue-i.28960708.3114258129
iSHOPiffy EasyPen i405X,"1,688",,,https://ph.xiapibuy.com//iSHOPiffy-EasyPen-i405X-i.31089441.2675419813
Genius SP-906BT Outdoor Portable Bluetooth Speaker (Blue),"1,850",,,https://ph.xiapibuy.com//Genius-SP-906BT-Outdoor-Portable-Bluetooth-Speaker-(Blue)-i.151592928.2292611001
Genius i608x for Creative Painting w/ Cordless Mouse,"2,490",,,https://ph.xiapibuy.com//Genius-i608x-for-Creative-Painting-w-Cordless-Mouse-i.28528173.2078209094
Genius SP-U115 USB Powered Stereo Speakers (Black),360,,,https://ph.xiapibuy.com//Genius-SP-U115-USB-Powered-Stereo-Speakers-(Black)-i.108091192.1856035518
Genius keyboard,"1,200",,,https://ph.xiapibuy.com//Genius-keyboard-i.120091388.1832776604
Genius wireless mouse,150,,,https://ph.xiapibuy.com//Genius-wireless-mouse-i.67336013.1607343147
Graphics Tablet,"2,500",,,https://ph.xiapibuy.com//Graphics-Tablet-i.12130553.1113771101
Genius Ultra Thin Mini Keyboard LuxePad i9010 for iPad Mini,"1,699",,,https://ph.xiapibuy.com//Genius-Ultra-Thin-Mini-Keyboard-LuxePad-i9010-for-iPad-Mini-i.21604021.589172526
