Id,cateId,picS,picB,name,describe,price,originPrice,author,brand,publishDate,sellerId,isPChome,isNC17,couponActid,BU
DCAD0A-A9007BZ66,DSAR2T,/items/DCAD0AA9007BZ66/000002_1591260601.jpg,/items/DCAD0AA9007BZ66/000001_1592447416.jpg,Logitech G29 RACING WHEEL 賽車方向盤,"羅技 Driving force G29賽車方向盤\r\n★ 適用於playstation3和playstation4
★ 雙馬達力回饋
★ 手工縫製真皮 不鏽鋼換擋撥片
★ 無齒隙螺旋齒輪
★ 24點選擇撥盤
★ 900度擬真方向盤",11110,11110,,,,,1,0,[],ec
DCBAA9-A9007ZFD7,DSAR26,/items/DCBAA9A9007ZFD7/000002_1591260601.jpg,/items/DCBAA9A9007ZFD7/000001_1590373339.jpg,羅技Logitech SPOTLIGHT 簡報遙控器-質感灰,"羅技Logitech SPOTLIGHT 簡報遙控器-質感灰\r\n◆ 操作範圍：最遠達30公尺
◆ 支援windows與mac平台
◆ 具備震動提醒的計時器
◆ 快速充電，充1分鐘可進行3小時簡報
◆ 簡易自訂控制項目
◆ 內附充電連接線
◆ 享1年保固

➷質感灰
➷香檳金",2990,2990,,,,,1,0,[],ec
DCBAAU-A9008ZXZ9,DSAR26,/items/DCBAAUA9008ZXZ9/000002_1591260601.jpg,/items/DCBAAUA9008ZXZ9/000001_1589509148.jpg,羅技Logitech R500無線簡報器,"羅技Logitech R500無線簡報器\r\n★型塑專業 一鍵啟動★
★各種作業系統一鍵搞定
★客製化按鍵輕鬆設定
★直覺式操作三鍵搞定
★符合人體工學
★直覺式瀏覽設定",1490,1490,,,,,1,0,[],ec
QABE00-A9009E6CF,QABE00,/items/QABE00A9009E6CF/000002_1547605432.jpg,/items/QABE00A9009E6CF/000001_1547605432.jpg,【logitech 羅技】G304 LIGHTSPEED 無線遊戲滑鼠,"❤快速出貨❤　G304 LIGHTSPEED　　無線電競滑鼠　\r\n1、lightspeed 無線技術
2、hero感應器
3、極長壽命
4、極輕巧
5、6個可自訂按鍵
6、先進按鍵張力系統
7、遊戲地點不受限",1290,1290,,,,,1,0,[],ec
DCAI0C-A74345746,DSAR5S,/items/DCAI0CA74345746/000002_1537944918.jpg,/items/DCAI0CA74345746/000001_1590630050.jpg,Logitech羅技 Z906 5.1聲道音箱系統,"羅技 Z906 5.1聲道音箱系統\r\n◆ 5.1聲道音箱系統
◆ 500 watts (rms) 高功率輸出
◆ 具thx嚴格的效能認證
◆ 可同時連接六種音訊裝置",9590,9590,,,,,1,0,[],ec
DCBAA9-A9007ZFCD,DSAR26,/items/DCBAA9A9007ZFCD/000002_1591260601.jpg,/items/DCBAA9A9007ZFCD/000001_1590373355.jpg,羅技Logitech SPOTLIGHT 簡報遙控器-香檳金,"羅技Logitech SPOTLIGHT 簡報遙控器-香檳金\r\n◆ 操作範圍：最遠達30公尺
◆ 支援windows與mac平台
◆ 具備震動提醒的計時器
◆ 快速充電，充1分鐘可進行3小時簡報
◆ 簡易自訂控制項目
◆ 內附充電連接線
◆ 享1年保固

➷質感灰
➷香檳金",2990,2990,,,,,1,0,[],ec
QABF0Z-A9008V5L0,QABF0Z,/items/QABF0ZA9008V5L0/000001_1582480544.jpg,/items/QABF0ZA9008V5L0/000001_1582480544.jpg,Logitech 羅技 G102 PRODIGY 有線光學滑鼠,【Logitech 羅技】G102 PRODIGY 有線光學滑鼠\r\n接頭：usb鍵數：6鍵有線 無線 藍芽：有線解析度：200-6000 dpi保固：2年,549,549,,,,,1,0,[],ec
DCBAAU-A90091HTO,DSAR26,/items/DCBAAUA90091HTO/000002_1591260601.jpg,/items/DCBAAUA90091HTO/000001_1589509132.jpg,羅技Logitech R500 雷射簡報筆 (灰),"羅技Logitech R500 雷射簡報筆 (灰)\r\n★型塑專業 一鍵啟動★
★各種作業系統一鍵搞定
★客製化按鍵輕鬆設定
★直覺式操作三鍵搞定
★符合人體工學
★直覺式瀏覽設定
黑色賣場，請點我！",1490,1490,,,,,1,0,[],ec
QABE00-A9009E60J,QABE00,/items/QABE00A9009E60J/000002_1542348383.jpg,/items/QABE00A9009E60J/000001_1542348383.jpg,【logitech 羅技】G300S 遊戲滑鼠,"❤快速出貨❤　G300S 　　電競滑鼠　\r\n1、9 個可自訂按鍵
2、流暢的雙手適用造型
3、使用者可自訂燈號
4、內建記憶設定檔
5、即時切換 dpi
6、1毫秒回報速率
7、耐用的機體
8、滑順的腳墊
9、容易使用的設定軟體",459,459,,,,,1,0,[],ec
QABE00-A9009FJ3J,QABE06,/items/QABE00A9009FJ3J/000002_1537520771.jpg,/items/QABE00A9009FJ3J/000001_1537520771.jpg,【logitech 羅技】G240 布面 光學軟墊 電競滑鼠墊,"❤快速出貨❤　G240　　電競滑鼠墊　\r\n1、適中的表面摩擦力
2、一致的表面紋理
3、羅技 g 系列感應器的絕佳良配
4、穩定的橡膠底座
5、舒適的布質構造
6、捲起方便",599,599,,,,,1,0,[],ec
