品名,價格(單位:千),原價(單位:千),售出量,網址
Genius KM110X PS/2 Combo Keyboard with Mouse,530,,6 sold,https://ph.xiapibuy.com//Genius-KM110X-PS-2-Combo-Keyboard-with-Mouse-i.20959443.1942223472
Genius KB 110 USB keyboard,450,,5 sold,https://ph.xiapibuy.com//Genius-KB-110-USB-keyboard-i.20959443.1942109074
Genius DX-125 USB Optical Mouse,233,,1 sold,https://ph.xiapibuy.com//Genius-DX-125-USB-Optical-Mouse-i.190204037.7218403785
genius media pointer 100 wireless presenter,"1,173",,1 sold,https://ph.xiapibuy.com//genius-media-pointer-100-wireless-presenter-i.190204037.6318160534
Genius Mouse PS2 DX-110,150,₱170,33 sold,https://ph.xiapibuy.com//Genius-Mouse-PS2-DX-110-i.5288978.201473097
Genius SP-U115 USB Powered Speakers ( BLACK ),340,,1 sold,https://ph.xiapibuy.com//Genius-SP-U115-USB-Powered-Speakers-(-BLACK-)-i.216992178.6915149574
MOUSE GENIUS DX-125 BLACK WIRED USB TYPE,180,,,https://ph.xiapibuy.com//MOUSE-GENIUS-DX-125-BLACK-WIRED-USB-TYPE-i.225424611.6832498272
Genius / A4Tech Keyboard,120,,,https://ph.xiapibuy.com//Genius-A4Tech-Keyboard-i.45816436.6735357888
GENIUS SPEAKER USB SOUNDBAR 100,799,,,https://ph.xiapibuy.com//GENIUS-SPEAKER-USB-SOUNDBAR-100-i.129140220.6237222974
Free Shipping COD Brandnew Genius SP906BT Portable Bluetooth Speaker Loud and Extra Bass,"1,499","₱3,000",,https://ph.xiapibuy.com//Free-Shipping-COD-Brandnew-Genius-SP906BT-Portable-Bluetooth-Speaker-Loud-and-Extra-Bass-i.6619964.5434320728
GENIUS SPEAKER SP-U115,675,,,https://ph.xiapibuy.com//GENIUS-SPEAKER-SP-U115-i.129140220.5237203647
KEYBOARD GENIUS KB100 BLACK WIRED USB TYPE,310,,,https://ph.xiapibuy.com//KEYBOARD-GENIUS-KB100-BLACK-WIRED-USB-TYPE-i.225424611.4832477848
Genius GX Gaming Mousepad,280,,,https://ph.xiapibuy.com//Genius-GX-Gaming-Mousepad-i.101606686.4732510554
GX Gaming Maurus Black,750,,,https://ph.xiapibuy.com//GX-Gaming-Maurus-Black-i.101606686.3432723643
"Genius EasyPen i405x Graphic Tablet drawing tablet 4""x5.5""","1,099",,,https://ph.xiapibuy.com//Genius-EasyPen-i405x-Graphic-Tablet-drawing-tablet-4-x5.5--i.43460885.3150377241
Genius Ergonomic Stylish Wireless Mouse w/ BlueEye Sensor Technology - Ocean Blue,475,,,https://ph.xiapibuy.com//Genius-Ergonomic-Stylish-Wireless-Mouse-w-BlueEye-Sensor-Technology-Ocean-Blue-i.28960708.3114258129
iSHOPiffy EasyPen i405X,"1,688",,,https://ph.xiapibuy.com//iSHOPiffy-EasyPen-i405X-i.31089441.2675419813
Genius SP-906BT Outdoor Portable Bluetooth Speaker (Blue),"1,850",,,https://ph.xiapibuy.com//Genius-SP-906BT-Outdoor-Portable-Bluetooth-Speaker-(Blue)-i.151592928.2292611001
Genius SP-U115 Black,400,,,https://ph.xiapibuy.com//Genius-SP-U115-Black-i.47862040.2272425293
