name,price,Original_price,star,reviews,sold,stock,seller,seller_link,seller_from,category,brand,description,URL
Genius KB 110 USB keyboard,₱450,,4.5,4,5,Quantity5 piece available,cccmain,https://ph.xiapibuy.com/cccmain,"Karuhatan, Valenzuela City, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesKeyboards,Genius,"Genius KB110 USB Keyboard
OS Support Windows 2000/XP/XP x64/Vista
Interface Support USB
Water Spills Yes",https://ph.xiapibuy.com//Genius-KB-110-USB-keyboard-i.20959443.1942109074
PreferredGenius Mouse PS2 DX-110,₱150,₱170,5.0,7,34,Quantity17 piece available,ph.essentials,https://ph.xiapibuy.com/ph.essentials,"Cambaro, Mandaue City, Visayas, Cebu",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"Buttons Qty 3
Orientation right and left-handed

Connectivity Technology wired
Interface PS/2
Movement Detection Technology optical
Movement Resolution 1000 dpi
Buttons Qty 3
Product Type Mouse

#mouse #home #office #useful #ps2 #genius",https://ph.xiapibuy.com//Genius-Mouse-PS2-DX-110-i.5288978.201473097
Genius DX-125 USB Optical Mouse,₱233,,5.0,1,1,Quantity9 piece available,pccornersmsanlazaro,https://ph.xiapibuy.com/pccornersmsanlazaro,"Barangay 352, Santa Cruz, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"Specification
System requirements

Windows 7, 8, 8.1, 10
Mac OS 10.7.4 or later
USB Port
Specifications

Sensor engine	Optical
Cable length	1.5m
Number of buttons	3 (left, right, middle button with scroll)
Colors	Black, White
Weight	85 g
Resolution (DPI)	1000
Dimensions (W x H x D)	105 x 37 x 60 mm
What's included

DX-125",https://ph.xiapibuy.com//Genius-DX-125-USB-Optical-Mouse-i.190204037.7218403785
genius media pointer 100 wireless presenter,"₱1,173",,5.0,1,1,Quantity1 piece available,pccornersmsanlazaro,https://ph.xiapibuy.com/pccornersmsanlazaro,"Barangay 352, Santa Cruz, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"Product Overview
2.4GHz wireless technology with 10m range
User friendly 5 button design
Micro USB receiver stores inside presenter
Integral laser pointer
Plug and play USB interface
Supports Win XP/Vista/7
Dimensions (HxWxD): 18x38x105mm
Contents
Presenter, USB receiver, 2x AAA batteries and user guide",https://ph.xiapibuy.com//genius-media-pointer-100-wireless-presenter-i.190204037.6318160534
Genius KM110X PS/2 Combo Keyboard with Mouse,₱530,,5.0,2,6,Quantity32 piece available,cccmain,https://ph.xiapibuy.com/cccmain,"Karuhatan, Valenzuela City, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesKeyboards,Genius,"Genius KM110X PS/2 Combo Keyboard with Mouse

Value desktop combo
KM-110X from Genius combines a comfortable keyboard and optical mouse as a value added entry level kit. The black keyboard has 104/105/106 compatible keys enhances your Windows layout. The low-profile keycap structure provides an excellent touch and the water resistant function prevents against accidental drink spillages. The mouse features an 800 dpi optical sensor for great movement without worrying about any dust accumulation.
System Requirements
Windows® 10/8/7/Vista/XP
IBM/Pentium PC compatible or higher
Available PS2 model",https://ph.xiapibuy.com//Genius-KM110X-PS-2-Combo-Keyboard-with-Mouse-i.20959443.1942223472
PreferredGenius NX-7015 Wireless Stylish Mouse - Metallic Chocolate,₱391,₱630,5.0,43,95,Quantity47 piece available,playbookstore,https://ph.xiapibuy.com/playbookstore,"Barangay 157, Pasay City, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"ORIGINAL AND BRAND NEW!

SYSTEM REQUIREMENTS
• Windows 7, 8, 8.1, 10
• Mac OS X 10.8 or later
• USB Port

SPECIFICATIONS: 
• RF Frequency: 2.4 GHz
• Number of buttons: 3 (left, right, middle button with scroll)
• Resolution (DPI): 800 / 1200 / 1600
• Sensor engine: BlueEye
• Color: chocolate
• Weight: 57 g (includes receiver)
• Dimensions (W x H x D): 58 x 100 x 38.5 mm (2.28 x 3.94 x 1.52 inches)

PACKAGE CONTENTS
• NX-7015
• USB Pico receiver
• AA alkaline battery
• Multi-language user manual
------------------------------------------------------------------------------------------------------------------------------------------------------------------
WARRANTY: 
• 1 Year Local Supplier Warranty
• All shipping fees shall be shouldered by the buyer. 
• Kindly send us a message on how to claim the warranty.

IMPORTANT:
Please limit your cart to 4 pcs. of Genius NX-7015 Wireless Stylish Mouse per checkout. Do not include any other items from the same seller in the same cart. The courier has a limit on the dimension of the item to support Shopee's Delivery Promo. Any order that exceeds the limit of the courier will be canceled. Shipping Fees may apply for selected locations. Check the Shopee Help section for more info.

#theplaybookstore #playbook #genius #nx7015 #wireless #mouse #original #brandnew #legit #legitseller",https://ph.xiapibuy.com//Genius-NX-7015-Wireless-Stylish-Mouse-Metallic-Chocolate-i.25952313.408378530
PreferredGenius NX-7000 2.4GHz Wireless Mouse,₱318 - ₱451,₱460,4.9,451,941,Quantity136 piece available,playbookstore,https://ph.xiapibuy.com/playbookstore,"Barangay 157, Pasay City, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"BRAND NEW AND ORIGINAL!

YSTEM REQUIREMENTS
• Windows 7, 8, 8.1, 10
•  Mac OS X 10.8 or later
• USB Port

SPECIFICATIONS
• RF Frequency: 2.4 GHz
• Number of buttons: 3 (left, right, middle button with scroll)
• Resolution (DPI): 1200
• Sensor engine: BlueEye
• Colors: Calm black, Elegant white, Ocean blue, Passion red, Spring green
• Weight: 79g (includes receiver)
• Dimensions (W x H x D): 58 x 100 x 39 mm (2.28 x 3.94 x 1.54 inches)

PACKAGE CONTENTS
• NX-7000
• USB Pico receiver
•  AA alkaline battery
• Multi-language user manual
• 1 Year Warranty
------------------------------------------------------------------------------------------------------------------------------------------------------------------
WARRANTY: 
• 1 Year Local Supplier Warranty
• All shipping fees shall be shouldered by the buyer. 
• Kindly send us a message on how to claim the warranty.

IMPORTANT:
Please limit your cart to 6 pcs. of Genius NX-7000 2.4GHz Wireless Mouse per checkout. Do not include any other items from the same seller in the same cart. The courier has a limit on the dimension of the item to support Shopee's Delivery Promo. Any order that exceeds the limit of the courier will be canceled. Shipping Fees may apply for selected locations. Check the Shopee Help section for more info.

#theplaybookstore #playbook #genius #NX7000 #wireless #mouse  #brandnew #original #legit #legitseller",https://ph.xiapibuy.com//Genius-NX-7000-2.4GHz-Wireless-Mouse-i.25952313.378957832
Genius SP-U115 USB Powered Speakers ( BLACK ),₱340,,,,1,Quantity14 piece available,startnet_joyo,https://ph.xiapibuy.com/startnet_joyo,"Santo Nino, Paranaque City, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesSpeakers,Genius,"SPECIFICATION:
• RMS (Watts): 1
• Driver unit-Satellite: 50 x 50 mm, 8 ohm
• Signal-to-Noise Ratio: 80dB
• Frequency Response: 200 Hz~18K Hz
• Power Source: USB
• Volume Control: YES
• Headphone Jack: YES

WHAT'S INCLUDED:
• Two speakers
• Multi-language user’s manual

#BESTSELLER 
#COD",https://ph.xiapibuy.com//Genius-SP-U115-USB-Powered-Speakers-(-BLACK-)-i.216992178.6915149574
MOUSE GENIUS DX-125 BLACK WIRED USB TYPE,₱180,,,,0,Quantity10 piece available,dongski43,https://ph.xiapibuy.com/dongski43,"Barangay 12 (Pob.), Ormoc City, Visayas, Leyte",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"GENIUS DX-125 BLACK WIRED USB TYPE

                Smooth and comfortable touch feel       Great for either hand              Windows and MacOS compatible

Specifications

Sensor engine	Optical
Cable length	1.5m
Number of buttons	3 (left, right, middle button with scroll)
Colors	Black, White
Weight	85 g
Resolution (DPI)	1000",https://ph.xiapibuy.com//MOUSE-GENIUS-DX-125-BLACK-WIRED-USB-TYPE-i.225424611.6832498272
Genius / A4Tech Keyboard,₱120,,,,0,Quantity3 piece available,gracekristine,https://ph.xiapibuy.com/gracekristine,"Cuta, Batangas City, South Luzon, Batangas",CategoryShopeeLaptops & ComputersComputer AccessoriesKeyboards,Genius,"Used Genius and A4Tech Keyboard
PS/2 port
good working condition
Strictly no return!
Will test before shipping.


",https://ph.xiapibuy.com//Genius-A4Tech-Keyboard-i.45816436.6735357888
Genius Optical USB Mouse (503) CMY,₱110,,,,0,Quantity100 piece available,xplayiloilo,https://ph.xiapibuy.com/xplayiloilo,"Yulo-Arroyo, Iloilo City, Visayas, Iloilo",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"System Requirements:

IBM PC Pentium 233

Compatible or higher

Windows XP/Me/2009/98

USB port

Black",https://ph.xiapibuy.com//Genius-Optical-USB-Mouse-(503)-CMY-i.148802542.6537513029
