,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,1,Yogi Ferrell,SAC,25,1,1,0,30.3,26.0,9.0,14.0,64.3,6.0,9.0,66.7,2.0,5.0,40.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,3.0,37.1,0,0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Victor Oladipo,IND,26,2,2,0,26.6,23.5,7.5,14.0,53.6,3.5,7.5,46.7,5.0,5.0,100.0,0.0,5.0,5.0,2.5,2.5,1.0,0.5,1.0,35.3,0,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Klay Thompson,GSW,28,2,1,1,21.6,23.5,8.5,14.0,60.7,4.5,7.0,64.3,2.0,2.5,80.0,0.0,4.0,4.0,2.0,1.0,1.0,0.5,0.5,34.8,0,0,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Joel Embiid,PHI,24,4,3,1,24.5,23.0,8.8,16.3,53.8,0.5,4.5,11.1,5.0,7.0,71.4,2.3,6.3,8.5,2.5,4.0,1.0,0.5,3.0,37.5,2,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Paul George,OKC,28,2,2,0,25.7,22.5,6.0,17.0,35.3,2.5,7.0,35.7,8.0,9.5,84.2,1.0,4.5,5.5,2.5,1.5,3.0,0.5,3.0,41.9,0,0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Karl-Anthony Towns,MIN,22,4,1,3,26.8,21.5,7.3,14.3,50.9,1.5,3.0,50.0,5.5,6.8,81.5,1.3,6.8,8.0,1.3,1.5,0.5,1.8,2.8,38.2,1,0,-9.3,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Deandre Ayton,PHX,20,3,1,2,30.9,21.3,8.3,14.3,58.1,0.0,0.0,0.0,4.7,6.0,77.8,3.7,9.0,12.7,1.7,1.7,0.7,3.0,2.7,48.4,2,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,Stephen Curry,GSW,30,1,0,1,19.9,21.0,7.0,11.0,63.6,5.0,9.0,55.6,2.0,2.0,100.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,34.4,0,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Nikola Vucevic,ORL,27,3,1,2,26.5,21.0,8.7,17.0,51.0,0.7,3.3,20.0,3.0,3.0,100.0,1.3,7.3,8.7,2.3,1.3,0.7,1.7,1.3,40.6,1,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,Andre Drummond,DET,25,3,1,2,29.7,21.0,9.3,19.3,48.3,0.0,2.0,0.0,2.3,5.7,41.2,4.7,7.3,12.0,1.0,1.7,1.7,1.0,4.0,43.2,3,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
