書名,ISBN,網址,書價
演算法圖鑑：26種演算法 + 7種資料結構，人工智慧、數據分析、邏輯思考的原理和應用全圖解,9789862356319,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010771263/page/1/idx/1/cat/001/pdf/1,356
Deep Learning深度學習基礎|設計下一代人工智慧演算法,9789864768240,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010790219/page/1/idx/2/cat/001/pdf/1,490
圖說演算法：使用Python,9789864342815,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010779462/page/1/idx/3/cat/001/pdf/1,300
初探機器學習演算法,9789864766741,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010772567/page/1/idx/4/cat/001/pdf/1,456
Python：期貨演算法交易實務121個關鍵技巧詳解,9789864342631,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010770395/page/1/idx/5/cat/001/pdf/1,395
圖說演算法：使用C語言,9789864342921,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010784069/page/1/idx/6/cat/001/pdf/1,300
打下好基礎：程式設計與演算法競賽入門經典,9789863473114,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010650143/page/1/idx/7/cat/001/pdf/1,395
演算法技術手冊 第二版,9789864762637,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010741391/page/1/idx/8/cat/001/pdf/1,458
今天不學機器學習，明天就被機器取代：從Python入手+演算法,9789863794325,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010737303/page/1/idx/9/cat/001/pdf/1,466
演算法之美：隱藏在資料結構背後的原理(C++版),9789864342488,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010765779/page/1/idx/10/cat/001/pdf/1,514
R語言：期貨演算法交易實務120個關鍵技巧詳解,9789864342501,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010765617/page/1/idx/11/cat/001/pdf/1,395
啊哈!圖解演算法必學基礎,9789863474364,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010656544/page/1/idx/12/cat/001/pdf/1,277
Think Data Structures：Java演算法實作和資料檢索,9789864767212,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010782975/page/1/idx/13/cat/001/pdf/1,456
改變世界的九大演算法：讓今日電腦無所不能的最強概念,9789866031557,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010644994/page/1/idx/14/cat/001/pdf/1,284
R語言：金融演算法與台指期貨程式交易實務,9789864342259,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010757160/page/1/idx/15/cat/001/pdf/1,395
演算法：使用C++虛擬碼(第五版),9789864762491,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010749514/page/1/idx/16/cat/001/pdf/1,553
程式設計的解題策略：活用資料結構與演算法,9789863476818,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010680052/page/1/idx/17/cat/001/pdf/1,523
遺傳演算法原理與應用-活用Matlab(第五版)(附程式光碟),9789572188026,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010740802/page/1/idx/18/cat/001/pdf/1,589
AI及機器學習的經脈：演算法新解,9789863796138,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010778414/page/1/idx/19/cat/001/pdf/1,621
演算法統治世界,9789869028790,http://search.books.com.tw/redirect/move/key/%E6%BC%94%E7%AE%97%E6%B3%95/area/mid/item/0010643022/page/1/idx/20/cat/001/pdf/1,266
