Date,Open,High,Low,Close,Adj Close,Volume,Name
2017-01-03,181.5,183.5,181.0,183.0,183.0,22630000.0,台積電
2017-01-04,183.0,184.0,181.5,183.0,183.0,24369000.0,台積電
2017-01-05,182.0,183.5,181.5,183.5,183.5,20979000.0,台積電
2017-01-06,184.0,184.5,183.5,184.0,184.0,22443000.0,台積電
2017-01-09,184.0,185.0,183.0,184.0,184.0,18569000.0,台積電
2017-01-10,184.5,185.5,183.5,184.0,184.0,20198000.0,台積電
2017-01-11,185.0,185.0,181.5,182.0,182.0,29107000.0,台積電
2017-01-12,182.5,185.5,182.5,184.5,184.5,41130000.0,台積電
2017-01-13,180.5,182.5,180.5,181.5,181.5,52352000.0,台積電
2017-01-16,180.0,180.5,179.0,179.5,179.5,30756000.0,台積電
2017-01-17,180.5,181.0,179.5,181.0,181.0,13159000.0,台積電
2017-01-18,180.5,181.0,179.5,181.0,181.0,23693000.0,台積電
2017-01-19,179.5,181.0,179.5,180.5,180.5,24627000.0,台積電
2017-01-20,181.0,181.5,180.5,181.0,181.0,23429000.0,台積電
2017-01-23,182.5,185.0,182.5,185.0,185.0,36992000.0,台積電
2017-01-24,185.0,186.5,184.5,185.5,185.5,55022000.0,台積電
2017-02-02,188.0,188.5,184.0,184.5,184.5,94089000.0,台積電
2017-02-03,186.0,186.0,183.5,184.5,184.5,29518000.0,台積電
2017-02-06,184.5,185.5,184.0,184.5,184.5,24779000.0,台積電
2017-02-07,183.5,185.0,183.0,184.5,184.5,23616000.0,台積電
2017-02-08,183.5,184.5,183.0,183.5,183.5,29168000.0,台積電
2017-02-09,184.0,185.5,183.5,184.0,184.0,18967000.0,台積電
2017-02-10,184.5,185.5,184.0,185.5,185.5,34747000.0,台積電
2017-02-13,186.5,188.0,186.5,187.5,187.5,25124000.0,台積電
2017-02-14,189.0,190.0,187.5,187.5,187.5,45696000.0,台積電
2017-02-15,187.0,189.5,186.5,189.0,189.0,39347000.0,台積電
2017-02-16,190.0,190.5,188.0,189.0,189.0,27018000.0,台積電
2017-02-17,190.0,190.5,189.0,189.5,189.5,20389000.0,台積電
2017-02-20,190.0,190.5,189.5,190.0,190.0,13254000.0,台積電
2017-02-21,190.0,190.0,188.5,190.0,190.0,31159000.0,台積電
2017-02-22,190.5,191.0,188.5,188.5,188.5,25677000.0,台積電
2017-02-23,188.0,189.5,187.0,188.5,188.5,35725000.0,台積電
2017-02-24,187.5,190.5,187.5,189.0,189.0,22766000.0,台積電
2017-03-01,188.5,188.5,186.0,186.0,186.0,46186000.0,台積電
2017-03-02,188.0,188.5,185.0,186.0,186.0,39980000.0,台積電
2017-03-03,184.5,185.0,184.0,184.0,184.0,28197000.0,台積電
2017-03-06,184.0,184.5,183.5,183.5,183.5,12531000.0,台積電
2017-03-07,184.0,185.5,184.0,185.5,185.5,18812000.0,台積電
2017-03-08,186.0,188.0,185.5,187.0,187.0,31791000.0,台積電
2017-03-09,185.5,186.0,184.0,184.5,184.5,28489000.0,台積電
2017-03-10,184.0,184.5,183.0,183.5,183.5,20053000.0,台積電
2017-03-13,185.0,186.5,185.0,186.5,186.5,10487000.0,台積電
2017-03-14,188.0,188.0,186.0,186.0,186.0,22245000.0,台積電
2017-03-15,185.5,187.0,185.5,186.5,186.5,14131000.0,台積電
2017-03-16,188.0,190.0,188.0,190.0,190.0,31507000.0,台積電
2017-03-17,189.5,191.5,189.0,191.5,191.5,33764000.0,台積電
2017-03-20,191.5,191.5,189.5,191.5,191.5,16215000.0,台積電
2017-03-21,192.0,195.0,191.5,195.0,195.0,32246000.0,台積電
2017-03-22,192.5,193.5,191.5,193.5,193.5,27396000.0,台積電
2017-03-23,192.0,193.5,192.0,193.5,193.5,18472000.0,台積電
2017-03-24,192.0,193.0,192.0,192.5,192.5,17541000.0,台積電
2017-03-27,194.5,194.5,192.0,193.0,193.0,29251000.0,台積電
2017-03-28,195.0,195.0,192.5,194.5,194.5,38259000.0,台積電
2017-03-29,194.5,194.5,191.0,191.5,191.5,33374000.0,台積電
2017-03-30,192.5,193.0,190.5,191.5,191.5,28302000.0,台積電
2017-03-31,191.0,192.0,189.0,189.0,189.0,33635000.0,台積電
2017-04-05,189.5,193.0,189.5,193.0,193.0,43748000.0,台積電
2017-04-06,193.0,193.0,191.0,191.5,191.5,16173000.0,台積電
2017-04-07,192.0,192.0,188.5,191.0,191.0,18911000.0,台積電
2017-04-10,191.0,191.5,189.5,190.0,190.0,17024000.0,台積電
2017-04-11,190.0,191.0,189.0,191.0,191.0,8441000.0,台積電
2017-04-12,190.5,191.5,190.0,191.0,191.0,17283000.0,台積電
2017-04-13,189.5,192.0,189.5,191.5,191.5,14771000.0,台積電
2017-04-14,189.5,189.5,188.0,189.0,189.0,30701000.0,台積電
2017-04-17,189.0,189.0,187.5,187.5,187.5,17096000.0,台積電
2017-04-18,188.0,189.5,187.5,188.0,188.0,25063000.0,台積電
2017-04-19,187.5,187.5,186.5,186.5,186.5,30477000.0,台積電
2017-04-20,186.5,188.0,186.5,187.0,187.0,21488000.0,台積電
2017-04-21,187.5,190.0,187.5,190.0,190.0,17373000.0,台積電
2017-04-24,191.0,191.5,188.5,190.0,190.0,19317000.0,台積電
2017-04-25,190.5,192.0,189.5,192.0,192.0,31932000.0,台積電
2017-04-26,192.0,192.0,190.5,191.0,191.0,29909000.0,台積電
2017-04-27,192.0,193.0,190.5,193.0,193.0,27940000.0,台積電
2017-04-28,193.5,194.5,193.0,194.5,194.5,34852000.0,台積電
2017-05-02,198.5,199.0,195.5,196.5,196.5,44119000.0,台積電
2017-05-03,198.0,198.5,197.0,198.0,198.0,25723000.0,台積電
2017-05-04,198.5,199.0,197.0,198.0,198.0,22088000.0,台積電
2017-05-05,197.0,198.5,197.0,197.5,197.5,17036000.0,台積電
2017-05-08,199.0,202.5,199.0,202.5,202.5,36538000.0,台積電
2017-05-09,205.5,207.0,203.5,203.5,203.5,48077000.0,台積電
2017-05-10,204.0,206.0,204.0,205.5,205.5,28312000.0,台積電
2017-05-11,204.5,208.5,204.0,207.5,207.5,43718000.0,台積電
2017-05-12,205.0,207.0,205.0,206.0,206.0,25009000.0,台積電
2017-05-15,204.0,206.0,204.0,206.0,206.0,25666000.0,台積電
2017-05-16,205.0,205.0,203.5,204.5,204.5,33224000.0,台積電
2017-05-17,203.0,204.0,203.0,204.0,204.0,21567000.0,台積電
2017-05-18,202.5,204.0,201.5,203.5,203.5,22461000.0,台積電
2017-05-19,203.5,204.5,202.5,203.0,203.0,16492000.0,台積電
2017-05-22,203.5,205.0,203.0,205.0,205.0,13726000.0,台積電
2017-05-23,205.0,207.0,204.5,205.0,205.0,19991000.0,台積電
2017-05-24,205.0,206.0,205.0,205.5,205.5,13380000.0,台積電
2017-05-25,206.0,207.0,205.5,207.0,207.0,22328000.0,台積電
2017-05-26,205.0,207.0,205.0,207.0,207.0,32514000.0,台積電
2017-05-31,206.5,207.0,203.0,203.0,203.0,67475000.0,台積電
2017-06-01,205.0,207.0,204.5,207.0,207.0,27589000.0,台積電
2017-06-02,208.5,209.0,207.5,209.0,209.0,22573000.0,台積電
2017-06-05,209.5,212.0,209.0,212.0,212.0,21457000.0,台積電
2017-06-06,210.5,211.5,210.5,210.5,210.5,14912000.0,台積電
2017-06-07,212.0,212.5,210.0,211.5,211.5,29514000.0,台積電
2017-06-08,212.0,213.0,211.5,213.0,213.0,18437000.0,台積電
2017-06-09,214.5,215.0,212.0,212.0,212.0,31774000.0,台積電
