,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,250,Elfrid Payton,NOP,24,3,0,3,24.6,6.7,3.0,8.3,36.0,0.3,2.0,16.7,0.3,1.7,20.0,0.3,5.3,5.7,6.0,1.7,0.7,0.7,1.3,24.8,0,0,-9.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1,250,Michael Kidd-Gilchrist,CHA,25,3,2,1,19.4,6.7,1.7,6.7,25.0,0.0,0.3,0.0,3.3,4.0,83.3,1.3,5.3,6.7,1.0,0.7,0.7,1.0,2.3,20.5,1,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2,250,Anfernee Simons,POR,19,3,1,2,13.5,6.7,2.0,5.3,37.5,0.3,2.0,16.7,2.3,3.3,70.0,0.0,0.3,0.3,1.0,2.0,0.3,0.3,3.3,8.6,0,0,-14.3,,,,,,,,,,,,,,,,,,,,,,,,,,
3,250,Al-Farouq Aminu,POR,28,3,1,2,19.8,6.7,2.3,5.7,41.2,1.3,3.0,44.4,0.7,0.7,100.0,0.3,4.0,4.3,0.3,0.7,1.3,0.7,1.3,17.7,0,0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
4,255,Markieff Morris,WAS,29,2,1,1,19.4,6.5,2.0,6.5,30.8,1.5,4.0,37.5,1.0,1.0,100.0,0.5,6.0,6.5,0.5,1.5,0.0,0.0,3.0,13.6,1,0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,255,Frank Ntilikina,NYK,20,4,3,1,17.7,6.5,2.8,6.3,44.0,0.8,1.5,50.0,0.3,0.5,50.0,0.5,1.5,2.0,1.5,1.0,1.0,0.5,3.0,14.7,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
6,255,Walter Lemon Jr.,BOS,26,4,1,3,10.0,6.5,2.3,4.8,47.4,0.3,1.5,16.7,1.8,2.8,63.6,0.3,1.3,1.5,1.5,0.8,0.8,0.3,1.3,12.8,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
7,255,JR Smith,CLE,33,2,1,1,17.6,6.5,3.0,7.0,42.9,0.5,2.0,25.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.5,0.5,0.0,2.5,9.1,0,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
8,255,Mario Hezonja,NYK,23,4,3,1,20.6,6.5,2.3,5.8,39.1,0.5,2.5,20.0,1.5,1.8,85.7,0.3,3.5,3.8,1.0,2.8,0.5,1.0,1.8,14.3,0,0,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
9,255,CJ Miles,TOR,31,2,1,1,17.5,6.5,2.0,5.5,36.4,1.0,3.0,33.3,1.5,2.0,75.0,0.0,2.0,2.0,0.0,0.5,0.0,0.0,2.5,8.4,0,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
10,255,Quinn Cook,GSW,25,2,1,1,18.1,6.5,2.0,7.5,26.7,0.0,3.5,0.0,2.5,3.0,83.3,0.5,0.5,1.0,3.0,2.0,0.0,0.5,0.5,11.7,0,0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
11,262,Marcus Smart,BOS,24,3,1,2,15.7,6.3,2.0,4.3,46.2,1.0,2.7,37.5,1.3,2.0,66.7,0.3,1.3,1.7,1.7,1.3,0.3,0.0,2.3,10.5,0,0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
12,262,Torrey Craig,DEN,27,3,3,0,20.8,6.3,2.0,5.0,40.0,0.7,2.7,25.0,1.7,2.3,71.4,1.3,2.3,3.7,0.7,1.3,1.0,0.7,2.7,15.4,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,262,Omri Casspi,MEM,30,3,2,1,11.6,6.3,1.7,4.3,38.5,0.0,1.0,0.0,3.0,3.7,81.8,0.7,3.0,3.7,0.7,0.3,0.7,0.3,1.7,14.4,0,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
14,262,Dorian Finney-Smith,DAL,25,3,2,1,23.5,6.3,2.3,4.3,53.8,1.0,2.7,37.5,0.7,0.7,100.0,1.0,2.7,3.7,1.7,2.0,1.3,1.0,2.7,18.2,0,0,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,
15,262,Seth Curry,POR,28,3,1,2,17.1,6.3,2.3,4.7,50.0,0.7,2.3,28.6,1.0,1.0,100.0,0.0,1.7,1.7,1.0,1.0,0.7,0.0,1.7,10.8,0,0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
16,262,Sam Dekker,CLE,24,3,2,1,23.2,6.3,2.3,7.3,31.8,0.7,2.7,25.0,1.0,1.3,75.0,0.7,1.7,2.3,0.0,0.0,1.0,0.0,0.7,12.1,0,0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
17,262,Ryan Broekhoff,DAL,28,3,2,1,16.6,6.3,2.0,4.3,46.2,1.7,3.3,50.0,0.7,1.0,66.7,0.7,2.0,2.7,1.3,0.3,0.0,0.0,1.7,11.2,0,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,269,Melvin Frazier Jr.,ORL,22,3,1,2,12.8,6.0,2.3,4.0,58.3,0.3,1.7,20.0,1.0,1.0,100.0,0.0,1.3,1.3,0.0,0.0,0.7,0.0,1.3,9.6,0,0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
19,269,Zach Collins,POR,20,3,1,2,21.0,6.0,2.7,5.0,53.3,0.3,0.3,100.0,0.3,0.7,50.0,1.3,3.3,4.7,0.3,2.3,0.0,0.0,4.0,9.8,0,0,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
20,269,Bam Adebayo,MIA,21,1,1,0,24.1,6.0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,3.0,1.0,0.0,3.0,12.0,0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,269,Shabazz Muhammad,MIL,25,1,1,0,7.0,6.0,2.0,3.0,66.7,0.0,0.0,0.0,2.0,2.0,100.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,13.8,0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,269,Jarrett Jack,NOP,34,1,0,1,13.3,6.0,2.0,6.0,33.3,0.0,2.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,10.4,0,0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,269,Tony Snell,MIL,26,2,2,0,18.0,6.0,1.5,4.0,37.5,1.5,3.5,42.9,1.5,1.5,100.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,2.5,14.1,0,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,269,Lonnie Walker IV,SAS,19,1,1,0,5.2,6.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6.5,0,0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,269,Bryn Forbes,SAS,25,3,2,1,17.0,6.0,2.0,7.3,27.3,0.7,3.3,20.0,1.3,1.7,80.0,0.0,2.7,2.7,3.0,0.0,0.7,0.0,2.0,15.7,0,0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
26,269,Danny Green,TOR,31,3,2,1,21.2,6.0,2.0,5.7,35.3,1.3,4.3,30.8,0.7,0.7,100.0,0.3,2.7,3.0,0.7,1.3,0.7,0.0,2.3,11.3,0,0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,269,Nik Stauskas,POR,25,3,1,2,17.3,6.0,1.7,4.7,35.7,0.7,2.7,25.0,2.0,2.0,100.0,0.7,2.0,2.7,1.7,0.7,0.3,0.7,2.3,14.0,0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,269,Zaza Pachulia,DET,34,2,1,1,15.9,6.0,2.5,5.5,45.5,0.0,0.0,0.0,1.0,1.0,100.0,1.5,2.5,4.0,4.0,1.5,0.0,1.0,4.0,18.3,0,0,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
29,269,Reggie Jackson,DET,28,1,0,1,16.5,6.0,2.0,7.0,28.6,2.0,4.0,50.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,10.6,0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,269,Dante Exum,UTA,23,2,2,0,18.3,6.0,1.5,3.5,42.9,1.0,1.5,66.7,2.0,2.0,100.0,0.0,1.5,1.5,4.0,1.5,0.0,0.5,1.5,13.8,0,0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31,269,Johnny Hamilton,DET,24,1,0,1,5.9,6.0,2.0,3.0,66.7,0.0,0.0,0.0,2.0,4.0,50.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,12.6,0,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,269,Nerlens Noel,OKC,24,3,2,1,18.6,6.0,2.3,4.7,50.0,0.0,0.0,0.0,1.3,2.0,66.7,3.7,3.0,6.7,1.3,2.0,1.3,2.0,4.3,24.0,1,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
33,269,De'Anthony Melton,PHX,20,2,1,1,9.5,6.0,2.5,6.0,41.7,1.0,2.5,40.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,1.5,11.2,0,0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
34,269,Shaun Livingston,GSW,33,2,1,1,10.0,6.0,2.5,3.5,71.4,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.5,0.5,2.0,0.5,0.5,0.0,1.0,10.6,0,0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
35,269,Braian Angola-Rodas,ORL,24,1,1,0,6.9,6.0,2.0,3.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,269,Ike Anigbogu,IND,19,1,0,1,13.9,6.0,3.0,7.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,14.4,0,0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37,269,Bismack Biyombo,CHA,26,1,0,1,10.0,6.0,1.0,3.0,33.3,0.0,0.0,0.0,4.0,5.0,80.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,12.2,0,0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,269,Evan Turner,POR,29,2,1,1,16.2,6.0,3.0,6.5,46.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,3.5,2.0,1.0,0.5,0.0,2.5,13.7,0,0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,269,Johnathan Williams,LAL,23,4,1,3,11.7,6.0,2.5,4.8,52.6,0.0,0.8,0.0,1.0,2.5,40.0,1.3,0.8,2.0,0.0,0.5,0.3,0.8,2.5,10.9,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
40,291,T.J. McConnell,PHI,26,4,3,1,11.9,5.8,2.8,4.5,61.1,0.0,0.0,0.0,0.3,0.5,50.0,0.8,1.0,1.8,2.8,0.3,0.8,0.3,2.3,14.7,0,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
41,291,Isaiah Hicks,NYK,24,4,3,1,8.4,5.8,1.8,3.3,53.8,0.0,0.0,0.0,2.3,3.5,64.3,0.5,2.5,3.0,1.0,1.5,1.0,0.3,2.3,13.1,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,291,Ivica Zubac,LAL,21,4,1,3,9.4,5.8,2.8,5.0,55.0,0.0,0.0,0.0,0.3,1.0,25.0,0.8,1.8,2.5,0.3,1.0,0.0,1.0,2.0,11.1,0,0,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
43,294,Zach Lofton,DET,25,3,1,2,9.0,5.7,2.0,4.3,46.2,1.0,2.3,42.9,0.7,0.7,100.0,0.3,1.7,2.0,0.7,0.0,0.3,0.0,0.7,10.1,0,0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,294,Davis Bertans,SAS,25,3,2,1,15.1,5.7,1.7,3.3,50.0,1.3,2.7,50.0,1.0,1.3,75.0,1.0,2.0,3.0,1.7,0.7,0.3,0.7,2.3,14.1,0,0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
45,294,Dillon Brooks,MEM,22,3,2,1,16.7,5.7,2.3,7.3,31.8,0.0,0.0,0.0,1.0,1.3,75.0,0.0,1.0,1.0,1.0,2.7,0.3,0.7,3.3,8.7,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
46,294,Doug McDermott,IND,26,3,2,1,26.5,5.7,2.0,6.3,31.6,1.0,3.3,30.0,0.7,0.7,100.0,0.7,2.3,3.0,1.3,0.7,0.3,0.3,2.7,12.6,0,0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,294,Greg Monroe,TOR,28,3,2,1,11.6,5.7,1.3,4.7,28.6,0.0,0.3,0.0,3.0,3.3,90.0,1.0,2.3,3.3,1.0,0.0,0.7,1.0,1.3,16.2,0,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
48,294,Tomas Satoransky,WAS,26,3,2,1,18.9,5.7,2.0,4.3,46.2,0.3,1.3,25.0,1.3,1.3,100.0,0.7,3.0,3.7,4.0,1.0,0.0,0.0,2.0,15.1,0,0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
49,294,Ish Smith,DET,30,3,1,2,26.6,5.7,2.0,9.3,21.4,1.3,6.3,21.1,0.3,0.3,100.0,0.0,3.3,3.3,7.0,1.0,0.0,0.7,2.0,21.2,0,0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
