球隊,背號,姓名,位置,體重,生日,經驗,大學
CLE,81,Jose Calderon,PG,200,"September 28, 1981",12,
CLE,8,Jordan Clarkson,SG,194,"June 7, 1992",3,"University of Tulsa, University of Missouri"
CLE,99,Jae Crowder,SF,235,"July 6, 1990",5,Marquette University
CLE,8,Channing Frye,C,255,"May 17, 1983",11,University of Arizona
CLE,32,Jeff Green,PF,235,"August 28, 1986",9,Georgetown University
CLE,3,George Hill,PG,188,"May 4, 1986",9,Indiana University-Purdue University Indianapolis
CLE,10,John Holland,SF,205,"November 6, 1988",R,Boston University
CLE,1,Rodney Hood,SG,206,"October 20, 1992",3,"Mississippi State University, Duke University"
CLE,23,LeBron James,PF,250,"December 30, 1984",14,
CLE,26,Kyle Korver,SG,212,"March 17, 1981",14,Creighton University
CLE,0,Kevin Love,C,251,"September 7, 1988",9,"University of California, Los Angeles"
CLE,22,Larry Nance,C,230,"January 1, 1993",2,University of Wyoming
CLE,16,Cedi Osman,SF,210,"April 8, 1995",R,
CLE,21,Kendrick Perkins,C,270,"November 10, 1984",13,
CLE,15,London Perrantes,PG,200,"October 3, 1994",R,University of Virginia
CLE,1,Derrick Rose,PG,190,"October 4, 1988",8,University of Memphis
CLE,4,Iman Shumpert,SG,220,"June 26, 1990",6,Georgia Institute of Technology
CLE,5,J.R. Smith,SG,225,"September 9, 1985",13,
CLE,3,Isaiah Thomas,PG,185,"February 7, 1989",6,University of Washington
CLE,13,Tristan Thompson,C,238,"March 13, 1991",6,University of Texas at Austin
CLE,9,Dwyane Wade,SG,220,"January 17, 1982",14,Marquette University
CLE,41,Ante Zizic,C,250,"January 4, 1997",R,
HOU,33,Ryan Anderson,PF,240,"May 6, 1988",9,University of California
HOU,1,Trevor Ariza,SF,215,"June 30, 1985",13,"University of California, Los Angeles"
HOU,28,Tarik Black,C,250,"November 22, 1991",3,"University of Memphis, University of Kansas"
HOU,6,Bobby Brown,PG,175,"September 24, 1984",3,"California State University, Fullerton"
HOU,26,Markel Brown,SG,190,"January 29, 1992",2,Oklahoma State University
HOU,98,Isaiah Canaan,SG,201,"May 21, 1991",4,Murray State University
HOU,15,Clint Capela,C,240,"May 18, 1994",3,
HOU,10,Eric Gordon,SG,215,"December 25, 1988",9,Indiana University
HOU,14,Gerald Green,SG,205,"January 26, 1986",10,
HOU,13,James Harden,SG,220,"August 26, 1989",8,Arizona State University
HOU,42,Nene Hilario,C,250,"September 13, 1982",15,
HOU,2,R.J. Hunter,SG,185,"October 24, 1993",2,Georgia State University
HOU,5,Aaron Jackson,PG,185,"May 6, 1986",R,Duquesne University
HOU,2,Demetrius Jackson,PG,201,"September 7, 1994",1,University of Notre Dame
HOU,7,Joe Johnson,SF,240,"June 29, 1981",16,University of Arkansas
HOU,12,Luc Mbah a Moute,PF,230,"September 9, 1986",9,"University of California, Los Angeles"
HOU,21,Chinanu Onuaku,C,245,"November 1, 1996",1,University of Louisville
HOU,3,Chris Paul,PG,175,"May 6, 1985",12,Wake Forest University
HOU,9,Zhou Qi,C,210,"January 16, 1996",R,
HOU,55,Tim Quarterman,SG,195,"October 27, 1994",1,Louisiana State University
HOU,4,P.J. Tucker,PF,245,"May 5, 1985",6,University of Texas at Austin
HOU,0,Briante Weber,PG,165,"December 29, 1992",2,Virginia Commonwealth University
HOU,5,Troy Williams,SF,218,"December 30, 1994",1,Indiana University
HOU,32,Brandan Wright,PF,210,"October 5, 1987",9,University of North Carolina
GSW,2,Jordan Bell,C,224,"January 7, 1995",R,University of Oregon
GSW,25,Chris Boucher,PF,182,"January 11, 1993",R,University of Oregon
GSW,18,Omri Casspi,SF,225,"June 22, 1988",8,
GSW,4,Quinn Cook,PG,184,"March 23, 1993",1,Duke University
GSW,30,Stephen Curry,PG,190,"March 14, 1988",8,Davidson College
GSW,35,Kevin Durant,PF,240,"September 29, 1988",10,University of Texas at Austin
GSW,23,Draymond Green,PF,230,"March 4, 1990",5,Michigan State University
GSW,9,Andre Iguodala,SF,215,"January 28, 1984",13,University of Arizona
GSW,15,Damian Jones,C,245,"June 30, 1995",1,Vanderbilt University
GSW,34,Shaun Livingston,PG,192,"September 11, 1985",12,
GSW,5,Kevon Looney,C,220,"February 6, 1996",2,"University of California, Los Angeles"
GSW,0,Patrick McCaw,SG,185,"October 25, 1995",1,"University of Nevada, Las Vegas"
GSW,1,JaVale McGee,C,270,"January 19, 1988",9,"University of Nevada, Reno"
GSW,27,Zaza Pachulia,C,270,"February 10, 1984",14,
GSW,11,Klay Thompson,SG,215,"February 8, 1990",6,Washington State University
GSW,3,David West,C,250,"August 29, 1980",14,Xavier University
GSW,6,Nick Young,SG,210,"June 1, 1985",10,University of Southern California
