No.,Player,Pos,Ht,Wt,Birth Date,Nationality,Exp,College,PTS/G,AST,TRB,3P
2,Jordan Bell,C,6-9,224,"January 7, 1995",us,R,University of Oregon,4.6,1.8,3.6,0.0
25,Chris Boucher,PF,6-10,182,"January 11, 1993",lc,R,University of Oregon,0.0,0.0,1.0,0.0
18,Omri Casspi,SF,6-9,225,"June 22, 1988",il,8,,5.7,1.0,3.8,0.2
4,Quinn Cook,PG,6-2,184,"March 23, 1993",us,1,Duke University,9.5,2.7,2.5,1.4
30,Stephen Curry,PG,6-3,190,"March 14, 1988",us,8,Davidson College,26.4,6.1,5.1,4.2
35,Kevin Durant,PF,6-9,240,"September 29, 1988",us,10,University of Texas at Austin,26.4,5.4,6.8,2.5
23,Draymond Green,PF,6-7,230,"March 4, 1990",us,5,Michigan State University,11.0,7.3,7.6,1.1
9,Andre Iguodala,SF,6-6,215,"January 28, 1984",us,13,University of Arizona,6.0,3.3,3.8,0.5
15,Damian Jones,C,7-0,245,"June 30, 1995",us,1,Vanderbilt University,1.7,0.1,0.9,0.0
34,Shaun Livingston,PG,6-7,192,"September 11, 1985",us,12,,5.5,2.0,1.8,0.0
5,Kevon Looney,C,6-9,220,"February 6, 1996",us,2,"University of California, Los Angeles",4.0,0.6,3.3,0.0
0,Patrick McCaw,SG,6-7,185,"October 25, 1995",us,1,"University of Nevada, Las Vegas",4.0,1.4,1.4,0.3
1,JaVale McGee,C,7-0,270,"January 19, 1988",us,9,"University of Nevada, Reno",4.8,0.5,2.6,0.0
27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge,14,,5.4,1.6,4.7,0.0
11,Klay Thompson,SG,6-7,215,"February 8, 1990",us,6,Washington State University,20.0,2.5,3.8,3.1
3,David West,C,6-9,250,"August 29, 1980",us,14,Xavier University,6.8,1.9,3.3,0.0
6,Nick Young,SG,6-7,210,"June 1, 1985",us,10,University of Southern California,7.3,0.5,1.6,1.5
