排名,品名,評價,評論數,價格
#1,"Apple Magic Keyboard with Numeric Keypad (Wireless, Rechargable) (US English) - Silver",4.5 out of 5 stars,395,$99.00
#2,Logitech K400 Plus Wireless Touch TV Keyboard with Easy Media Control and Built-In Touchpad,4.2 out of 5 stars,"4,608",$17.99
#3,AmazonBasics Wired Keyboard,4.2 out of 5 stars,"4,279",$9.33
#4,"Apple Magic Keyboard (Wireless, Rechargable) (US English) - Silver",4.5 out of 5 stars,718,$88.99
#5,Arteck 2.4G Wireless Keyboard Stainless Steel Ultra Slim Full Size Keyboard with Numeric Keypad for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8/ 7 Built in Rechargeable Battery,4.3 out of 5 stars,835,$26.99
#6,"Arteck HB030B Universal Slim Portable Wireless Bluetooth 3.0 7-Colors Backlit Keyboard with Built in Rechargeable Battery, Black",4.4 out of 5 stars,"3,491",$19.99
#7,"OMOTON Ultra-Slim Bluetooth Keyboard Compatible with iPad 10.2-inch/ 9.7-inch, iPad Air 10.5, iPad Pro 11/12.9, iPad Mini 5/4, iPhone and Other Bluetooth Enabled Devices, White",4.2 out of 5 stars,"3,640",$15.99
#8,"Logitech G213 Gaming Keyboard with  Dedicated Media Controls, 16.8 Million Lighting Colors Backlit Keys, Spill-Resistant and Durable Design",4.4 out of 5 stars,660,$41.43
#9,"Logitech K780 Multi-Device Wireless Keyboard for Computer, Phone and Tablet – Logitech FLOW Cross-Computer Control Compatible",4.1 out of 5 stars,823,$44.99
#10,"Logitech G613 Lightspeed Wireless Mechanical Gaming Keyboard, Multihost 2.4 GHz + Blutooth Connectivity",4.1 out of 5 stars,319,$59.99
#11,Microsoft Natural Ergonomic Keyboard 4000 for Business - Wired,4.0 out of 5 stars,"2,332",$36.50
#12,Razer BlackWidow Mechanical Gaming Keyboard 2019: Green Mechanical Switches - Tactile & Clicky - Chroma RGB Lighting - 10 Key Anti-Ghosting - Programmable Macro Functionality,4.3 out of 5 stars,244,$79.99
#13,"Logitech K380 Multi-Device Bluetooth Keyboard – Windows, Mac, Chrome OS, Android, iPad, iPhone, Apple TV Compatible – with FLOW Cross-Computer Control and Easy-Switch up to 3 Devices – Dark Grey",4.3 out of 5 stars,"1,403",$29.99
#14,Logitech MX Keys Advanced Wireless Illuminated Keyboard - Graphite,4.5 out of 5 stars,81,$99.99
#15,"Logitech K800 Wireless Illuminated Keyboard — Backlit Keyboard, Fast-Charging, Dropout-Free 2.4GHz Connection",3.9 out of 5 stars,"5,244",$60.99
#16,Logitech Slim Folio with Integrated Bluetooth Keyboard for iPad (5th and 6th Generation),3.6 out of 5 stars,489,$69.98
#17,Logitech K350 2.4Ghz Wireless Keyboard,4.1 out of 5 stars,"9,156",$36.23
#18,Microsoft Sculpt Ergonomic Keyboard for Business (5KV-00001 ),3.8 out of 5 stars,"2,034",$58.11
#19,"OMOTON Ultra-Slim Bluetooth Keyboard Compatible with iPad 10.2 Inch/ 9.7 Inch, iPad Air 10.5, iPad Pro 11/ 12.9, iPad Mini 5/ 4, iPhone and Other Bluetooth Enabled Devices, Black",4.2 out of 5 stars,"3,640",$15.99
#20,"Apple Magic Keyboard with Numeric Keypad (Wireless, Rechargable) (US English) - Space Gray",4.6 out of 5 stars,129,$139.00
#21,Dell Wired Keyboard - Black KB216 (580-ADMT),4.4 out of 5 stars,495,$15.29
#22,Microsoft Natural Ergonomic Keyboard 4000,4.2 out of 5 stars,"4,984",$34.99
#23,Logitech K830 Illuminated Living-Room Keyboard with Built-in Touchpad – Easy-access Media Keys and Shortcut Keys for Windows or Android,4.0 out of 5 stars,906,$59.99
#24,"VicTsing Wired Keyboard Slim, Computer Keyboard USB Keyboard with Foldable Stand, Chiclet Keyboard for Windows 7/8/10/Vista, Mac/Laptop/Desktop-Black",4.5 out of 5 stars,546,$12.99
#25,"iClever Bluetooth Keyboard, Bluetooth 5.1 Foldable Wireless Keyboard with Portable Pocket Size, Aluminum Alloy Housing, Carrying Pouch, for iOS Windows Android Tablets, Laptops and Smartphones",4.3 out of 5 stars,983,$36.99
#26,"Perixx Periboard-317 Wired Backlit USB Keyboard, Big Print Letter with White Illuminated LED",4.4 out of 5 stars,214,$16.99
#27,"OMOTON Ultra-Slim Bluetooth Keyboard Compatible with iPad 10.2-inch/ 9.7-inch, iPad Air 10.5, iPad Pro 11/12.9, iPad Mini 5/4, iPhone and Other Bluetooth Enabled Devices, Rose Gold",4.2 out of 5 stars,"3,640",$16.99
