本週,上週,片名,上映日期,預告片,網友滿意度
1,1,雙子殺手,2019-10-23,https://movies.yahoo.com.tw/video/%E9%9B%99%E5%AD%90%E6%AE%BA%E6%89%8B-%E5%89%B5%E4%BD%9C%E8%80%85%E6%83%B3%E5%81%9A-%E8%A7%80%E7%9C%BE%E5%80%91%E5%8D%BB%E4%B8%8D%E6%83%B3%E6%8E%A5%E5%8F%97-xxy%E8%A9%95%E9%9B%BB%E5%BD%B1-074558573.html,3.9
2,2,黑魔女2,2019-10-17,https://movies.yahoo.com.tw/video/%E9%BB%91%E9%AD%94%E5%A5%B3%E5%B9%95%E5%BE%8C%E5%86%B7%E7%9F%A5%E8%AD%98-%E8%A7%92%E8%89%B2%E8%A8%AD%E8%A8%88%E9%9D%88%E6%84%9F%E6%BA%90%E8%87%AA%E9%85%8D%E9%9F%B3%E5%93%A1%E6%9C%AC%E4%BA%BA-073828577.html,4.1
3,3,小丑,2019-10-03,https://movies.yahoo.com.tw/video/%E5%B0%8F%E4%B8%91-%E5%96%9C%E5%8A%87%E5%B0%B1%E6%98%AF%E5%88%A5%E4%BA%BA%E7%9A%84%E6%82%B2%E5%8A%87-%E7%84%A1%E9%9B%B7%E5%BD%B1%E8%A9%95-xxy%E8%A9%95%E9%9B%BB%E5%BD%B1-160000313.html,4.5
4,,阿達一族,2019-11-01,https://movies.yahoo.com.tw/video/%E9%98%BF%E9%81%94-%E6%97%8F-%E8%90%AC%E8%81%96%E7%AF%80%E7%AF%87-083051561.html,3.8
5,,陽光普照,2019-11-01,https://movies.yahoo.com.tw/video/%E7%84%A1%E9%9B%B7-%E9%99%BD%E5%85%89%E6%99%AE%E7%85%A7-%E5%AE%B6%E6%98%AF%E9%81%BF%E9%A2%A8%E6%B8%AF-%E9%82%84%E6%98%AF%E6%83%85%E7%B7%92%E5%8B%92%E7%B4%A2%E5%A0%B4-xxy%E8%A9%95%E9%9B%BB%E5%BD%B1-160000902.html,4.5
6,,傻傻愛你，傻傻愛我,2019-11-01,https://movies.yahoo.com.tw/video/%E5%82%BB%E5%82%BB%E6%84%9B%E4%BD%A0-%E5%82%BB%E5%82%BB%E6%84%9B%E6%88%91-%E5%B0%8B%E6%89%BE%E7%BE%8E%E4%BA%BA%E9%AD%9A%E7%AF%87-032440543.html,4.3
7,,紫羅蘭永恆花園外傳–永遠與自動手記人偶–,2019-11-01,https://movies.yahoo.com.tw/video/%E7%B4%AB%E7%BE%85%E8%98%AD%E6%B0%B8%E6%81%86%E8%8A%B1%E5%9C%92%E5%A4%96%E5%82%B3-%E6%B0%B8%E9%81%A0%E8%88%87%E8%87%AA%E5%8B%95%E6%89%8B%E8%A8%98%E4%BA%BA%E5%81%B6-30%E7%A7%92%E9%A0%90%E5%91%8A-143018748.html,4.6
8,,絕鯊47：猛鯊出籠,2019-11-01,https://movies.yahoo.com.tw/video/%E7%B5%95%E9%AF%8A47-%E7%8C%9B%E9%AF%8A%E5%87%BA%E7%B1%A0-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-014632178.html,3.6
9,4,陪你很久很久,2019-10-25,https://movies.yahoo.com.tw/video/%E9%99%AA%E4%BD%A0%E5%BE%88%E4%B9%85%E5%BE%88%E4%B9%85-%E9%9B%BB%E5%BD%B1%E5%90%8C%E5%90%8D%E4%B8%BB%E9%A1%8C%E6%9B%B2mv-114542145.html,3.9
10,7,聖人大盜,2019-10-18,https://movies.yahoo.com.tw/video/%E8%81%96%E4%BA%BA%E5%A4%A7%E7%9B%9C-30%E7%A7%92%E9%A0%90%E5%91%8A-143129698.html,4.3
11,15,Thunderbolt Fantasy 西幽玹歌,2019-10-25,https://movies.yahoo.com.tw/video/%E8%A5%BF%E5%B9%BD%E7%8E%B9%E6%AD%8C-%E6%AD%A3%E5%BC%8F%E9%A0%90%E5%91%8A-053315107.html,4.4
12,6,金翅雀,2019-10-25,https://movies.yahoo.com.tw/video/%E9%87%91%E7%BF%85%E9%9B%80-%E6%9C%80%E6%96%B0%E9%A0%90%E5%91%8A-075452876.html,3.8
13,5,返校,2019-09-20,https://movies.yahoo.com.tw/video/%E8%BF%94%E6%A0%A1-400%E7%A7%92%E5%B8%B6%E4%BD%A0%E5%9B%9E%E9%A1%A7%E9%9B%BB%E5%BD%B1%E5%8E%9F%E5%9E%8B%E6%95%85%E4%BA%8B-xxy-111923492.html,4.3
14,9,天氣之子,2019-09-12,https://movies.yahoo.com.tw/video/%E7%84%A1%E9%9B%B7%E5%BD%B1%E8%A9%95-%E5%A4%A9%E6%B0%A3%E4%B9%8B%E5%AD%90-%E8%A8%BB%E5%AE%9A%E8%A9%95%E5%83%B9%E5%85%A9%E6%A5%B5%E7%9A%84%E5%8B%95%E7%95%AB%E9%9B%BB%E5%BD%B1-xxy%E8%A9%95%E9%9B%BB%E5%BD%B1-030333793.html,4.2
15,,犯罪現場,2019-11-01,https://movies.yahoo.com.tw/video/%E7%8A%AF%E7%BD%AA%E7%8F%BE%E5%A0%B4-%E5%89%8D%E5%B0%8E%E9%A0%90%E5%91%8A-135613447.html,3.7
16,8,弒婚遊戲,2019-10-09,https://movies.yahoo.com.tw/video/%E5%BC%92%E5%A9%9A%E9%81%8A%E6%88%B2-%E6%8F%AD%E9%96%8B%E7%A5%9E%E7%A7%98%E5%B9%95%E5%BE%8C%E5%9C%98%E9%9A%8A-103721678.html,3.8
